iter	Passed	Remaining
0	5	51692
1	8	44421
2	12	40300
3	15	39866
4	19	39579
5	23	38459
6	26	38129
7	30	37881
8	34	38389
9	37	37892
10	41	37709
11	45	37652
12	48	37156
13	51	36628
14	54	36436
15	58	36278
16	61	36016
17	63	35432
18	66	34796
19	68	34255
20	71	33829
21	73	33369
22	75	32952
23	78	32475
24	80	31992
25	82	31559
26	84	31064
27	86	30720
28	88	30332
29	90	30225
30	93	29937
31	95	29612
32	97	29348
33	99	29106
34	101	28809
35	102	28479
36	105	28313
37	106	28043
38	108	27776
39	110	27500
40	112	27250
41	113	27007
42	115	26743
43	117	26503
44	118	26257
45	120	26073
46	122	25858
47	123	25652
48	125	25426
49	127	25274
50	128	25104
51	130	24944
52	131	24767
53	133	24622
54	135	24536
55	137	24412
56	139	24314
57	140	24157
58	142	24041
59	144	23901
60	145	23781
61	147	23647
62	149	23532
63	151	23481
64	153	23388
65	154	23282
66	156	23179
67	157	23075
68	159	22960
69	161	22858
70	162	22755
71	164	22657
72	166	22644
73	168	22567
74	169	22482
75	171	22404
76	173	22333
77	174	22248
78	176	22159
79	178	22084
80	179	21986
81	181	21982
82	183	21899
83	184	21811
84	186	21749
85	188	21679
86	189	21594
87	191	21519
88	192	21445
89	194	21377
90	195	21322
91	197	21293
92	199	21239
93	201	21282
94	203	21228
95	205	21176
96	206	21113
97	208	21050
98	209	20991
99	211	20957
100	213	20949
101	215	20935
102	217	20906
103	219	20857
104	220	20813
105	222	20785
106	224	20734
107	225	20693
108	228	20705
109	230	20685
110	231	20650
111	233	20618
112	235	20576
113	236	20540
114	238	20491
115	240	20454
116	241	20413
117	243	20407
118	245	20383
119	247	20353
120	248	20323
121	250	20281
122	252	20243
123	253	20213
124	255	20171
125	256	20136
126	258	20131
127	260	20102
128	262	20066
129	263	20030
130	265	19994
131	267	19984
132	268	19944
133	270	19906
134	272	19878
135	274	19877
136	275	19853
137	277	19822
138	279	19793
139	280	19763
140	282	19750
141	284	19743
142	286	19724
143	287	19705
144	289	19694
145	291	19676
146	293	19648
147	294	19621
