Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child
50,1,2,900,2,0,1,4,4,3,5,1,4,4,253905,1,1,0,0
56,2,1,840,0,0,1,4,1,3,2,1,4,3,404475,0,2,1,0
38,1,1,600,2,1,1,3,4,3,4,0,4,4,278145,1,0,0,0
37,1,2,1080,1,1,1,3,1,4,1,0,5,3,326805,0,2,1,0
48,2,3,1020,1,1,1,3,4,4,4,0,4,4,258435,1,1,1,0
19,1,2,960,1,0,1,3,4,3,2,0,4,4,260000,0,1,0,0
47,2,3,840,1,0,1,3,3,4,4,0,4,2,453180,0,1,1,0
49,1,2,1320,1,0,1,3,4,3,8,0,4,4,261900,0,0,0,0
33,2,2,1200,2,1,1,3,4,3,4,0,4,4,247800,1,1,0,0
31,2,1,660,2,0,1,3,4,3,2,0,3,3,257610,0,0,1,0
51,2,1,840,1,1,1,3,1,3,4,0,3,3,351900,0,1,1,0
46,1,1,960,1,0,1,3,3,4,24,0,3,2,416430,0,2,1,0
49,2,1,1920,1,1,1,3,3,3,4,0,3,2,477555,0,1,1,0
51,1,2,1020,1,1,1,3,3,4,5,0,4,2,440000,0,0,1,0
53,2,2,840,1,1,1,3,4,3,1,0,3,4,300000,1,1,1,0
20,1,1,1440,1,1,1,3,4,3,8,0,4,4,253665,1,1,1,0
25,2,2,1380,1,0,1,3,4,3,1,0,3,4,258600,1,1,0,0
53,1,2,2100,1,0,1,3,3,3,4,0,3,2,500000,1,1,1,0
20,2,2,420,1,1,1,3,1,3,1,1,3,3,400000,0,0,0,0
44,2,2,300,1,0,1,3,3,3,1,1,4,2,286245,0,0,0,0
30,1,1,480,0,0,1,3,1,3,2,0,3,3,455250,0,1,0,0
34,2,2,960,0,1,1,3,4,3,2,0,4,4,263715,0,2,1,0
29,2,1,480,0,1,1,3,4,3,1,0,3,4,262725,1,2,0,0
56,2,2,900,0,0,1,3,3,3,1,0,3,2,431265,0,0,1,0
30,1,2,960,0,0,1,3,4,3,2,0,4,4,250275,0,2,1,0
41,2,2,780,0,0,1,3,3,3,1,0,4,0,303345,0,0,0,0
38,1,1,780,0,1,1,3,3,3,1,0,4,0,256845,0,1,1,0
50,2,1,840,0,0,1,3,1,3,2,0,3,3,368940,0,1,1,0
52,1,1,1020,0,0,1,3,3,3,4,0,3,2,456405,0,0,1,0
22,1,2,600,0,0,1,3,4,3,1,0,4,4,258885,1,1,0,0
36,2,2,900,0,1,1,3,3,3,1,1,3,0,316680,0,0,0,0
52,1,3,1920,0,1,1,3,3,3,2,1,5,2,500000,0,2,1,0
46,2,3,480,0,0,1,3,1,3,5,1,4,3,359730,0,1,1,0
30,2,2,900,0,1,1,3,1,3,2,1,3,3,410000,0,0,0,0
28,1,1,540,0,1,1,3,4,3,5,1,3,4,270000,0,1,0,0
25,1,2,840,0,0,1,3,4,3,2,1,4,4,255405,1,1,1,0
51,2,1,1560,1,1,1,4,3,3,1,0,2,2,485055,0,1,1,0
50,1,3,780,0,1,1,4,1,4,5,0,1,3,370000,0,1,0,0
48,2,1,720,0,1,1,4,1,3,2,0,1,3,401775,0,1,1,0
50,2,1,480,1,1,1,5,1,3,4,0,3,3,477000,0,0,1,0
38,2,2,840,0,0,1,3,1,3,1,0,2,3,378210,1,0,0,0
33,1,2,840,2,1,1,3,4,3,8,0,2,4,248490,1,1,1,0
42,2,2,600,0,0,1,3,3,3,2,0,2,0,268440,0,0,0,0
50,2,2,1260,0,0,1,3,1,3,1,0,2,3,362580,0,1,0,0
33,0,1,780,0,1,1,3,3,3,1,0,1,0,282075,0,0,0,0
35,2,1,780,2,1,1,3,1,4,1,0,1,3,356760,0,0,1,0
59,2,2,480,1,0,1,3,1,3,1,0,2,3,364980,0,0,0,0
43,2,2,840,1,0,1,3,1,3,5,0,2,0,350310,0,0,1,0
32,2,2,1500,0,0,1,4,1,3,3,0,2,3,429570,1,1,0,0
47,1,1,900,1,1,1,3,4,3,1,0,1,4,272475,0,2,0,0
42,2,2,960,1,0,1,3,4,3,2,0,1,4,273840,0,2,0,0
53,1,1,720,0,0,1,3,1,3,1,0,1,3,372150,0,1,1,0
56,1,1,660,0,0,1,3,3,4,20,0,1,2,462615,0,0,1,0
33,2,1,660,0,0,1,3,1,3,5,0,2,3,345690,0,1,0,0
58,2,1,840,0,1,1,3,3,3,4,0,1,0,397245,0,1,0,0
33,2,2,960,0,1,1,3,3,3,5,0,2,0,297855,0,0,1,0
32,2,1,540,1,0,1,3,4,3,4,0,1,4,269895,0,1,1,0
50,2,2,960,0,0,1,3,1,4,5,1,1,3,427050,1,0,1,0
40,2,1,840,0,1,1,3,1,3,2,1,1,3,418080,0,1,1,0
26,2,2,1020,2,0,1,3,4,3,2,1,2,4,264615,1,1,0,0
47,1,2,900,1,0,1,3,1,3,8,1,1,3,415545,0,1,0,0
47,2,2,600,2,0,1,3,4,3,1,1,2,4,258915,1,2,1,0
52,2,2,960,0,1,1,3,3,4,5,0,1,2,507870,0,1,1,0
29,2,2,780,1,0,1,5,3,3,7,0,1,0,303960,0,2,0,0
44,1,2,420,1,0,1,5,3,3,1,0,2,0,309645,0,0,0,0
54,2,1,720,1,0,2,4,1,3,2,0,1,3,400000,0,2,1,0
51,2,2,420,0,0,2,4,0,3,3,0,2,2,479610,0,0,1,0
59,2,1,780,0,0,2,4,3,3,4,0,1,2,463050,0,0,1,0
25,2,1,420,1,0,2,4,4,3,8,0,2,4,270735,0,1,0,0
29,2,1,900,0,1,2,4,4,3,5,0,2,4,263865,0,2,0,0
21,1,2,780,1,1,2,4,4,3,3,0,2,4,316770,1,0,0,0
56,1,1,600,1,0,2,4,3,3,6,0,1,2,400000,0,0,1,0
50,1,3,360,1,0,2,4,1,3,4,0,2,3,358935,0,1,1,0
57,2,1,480,1,1,2,4,4,3,2,0,2,4,263010,0,1,1,0
37,2,1,780,2,0,2,4,4,4,7,0,2,4,273900,1,2,0,0
20,1,1,780,0,0,2,4,4,3,2,0,2,4,257295,0,2,0,0
53,2,2,840,1,0,2,4,1,4,5,0,2,3,438195,0,1,1,0
30,2,1,480,1,0,2,4,4,3,8,0,1,4,267480,0,2,1,0
35,2,3,720,0,0,2,4,1,4,1,0,2,3,438210,0,2,1,0
36,2,1,660,1,0,2,4,1,3,2,0,2,3,371820,0,2,1,0
36,2,3,1080,1,1,2,5,1,3,1,0,1,3,300000,0,2,0,0
38,1,2,300,0,0,2,4,1,3,5,0,2,3,410000,0,2,0,0
49,1,3,900,1,1,2,4,1,4,2,0,1,3,370000,0,0,1,0
37,1,1,1860,2,0,2,4,1,3,2,0,1,3,393705,0,1,0,0
50,1,2,840,1,1,2,4,4,3,5,1,2,4,263730,1,1,0,0
51,1,2,600,0,0,2,4,1,3,3,1,2,3,366900,0,1,1,0
43,1,2,660,1,0,2,4,4,3,5,1,2,4,262560,1,2,0,0
40,1,2,900,1,1,2,4,3,3,2,1,1,0,437895,0,2,0,0
38,1,1,540,2,0,1,3,4,3,1,0,3,4,269235,0,0,0,0
54,1,2,960,1,0,1,1,3,4,4,1,4,2,428610,0,0,1,0
38,2,2,900,2,1,1,4,4,3,4,0,3,4,243540,1,1,0,0
26,2,2,1020,0,1,1,3,4,3,2,0,4,4,256455,0,1,0,0
40,2,1,1380,0,0,1,3,4,3,1,0,5,4,252360,0,0,1,0
31,2,3,840,0,1,1,3,4,3,2,0,3,4,260000,0,2,1,0
27,2,2,900,0,1,1,1,4,3,8,0,3,4,256890,0,0,1,0
40,1,1,660,0,1,1,2,3,3,1,0,3,0,331515,0,1,0,0
38,2,1,1020,0,1,1,3,3,3,6,1,4,0,270870,1,0,0,0
33,1,2,540,1,0,2,4,4,3,1,0,4,4,320000,1,1,1,0
20,1,2,2100,1,0,2,4,4,3,3,0,3,4,262500,1,0,0,0
58,2,2,900,1,1,2,4,4,3,2,0,3,4,266790,0,2,0,0
33,1,1,1020,1,1,2,4,4,4,2,1,3,4,271980,1,1,0,0
20,2,2,660,1,0,2,4,4,3,2,1,4,4,300000,1,1,1,0
32,1,2,1680,1,0,2,4,4,3,5,1,4,4,349995,1,2,1,0
34,1,2,1200,0,1,2,4,4,3,7,0,4,4,270405,1,2,0,0
20,2,2,900,0,1,2,4,4,3,7,0,3,4,295065,1,1,1,0
51,1,2,900,1,1,1,4,4,3,8,0,2,4,274395,0,2,1,0
40,2,2,420,0,0,1,4,3,3,5,0,2,2,280200,0,2,1,0
26,2,3,660,0,0,1,4,1,3,3,1,2,3,370000,1,0,1,0
22,2,2,540,2,0,1,4,4,3,2,1,2,4,254535,1,1,1,0
46,1,1,600,0,0,2,3,3,3,3,0,2,0,343140,0,0,0,0
21,1,1,540,1,1,2,3,4,3,3,0,1,4,258405,0,1,1,0
24,2,2,840,0,0,2,3,1,3,3,0,2,3,344400,1,1,1,0
45,1,2,720,0,0,2,3,3,3,5,0,2,0,330000,0,2,1,0
33,1,1,420,1,1,2,3,4,3,4,0,1,4,254205,0,2,1,0
33,2,1,960,0,0,2,3,3,3,2,0,2,0,288480,0,2,1,0
56,2,2,900,0,1,2,3,3,3,2,0,2,2,500000,0,0,1,0
36,1,1,780,0,1,2,3,1,3,8,0,2,3,500000,0,0,1,0
41,2,1,1020,0,0,2,3,3,4,3,0,2,2,413865,0,1,1,0
50,1,2,360,1,0,2,3,3,4,1,0,2,2,460000,0,2,1,0
31,1,1,1020,2,1,2,4,4,3,5,0,1,4,257340,0,1,0,0
22,2,3,960,0,1,2,3,4,3,2,0,1,4,255405,0,1,1,0
38,2,2,960,1,1,2,3,4,4,5,0,2,4,270000,1,1,1,0
38,2,1,1080,1,1,1,3,4,3,5,0,3,4,249315,0,1,0,0
31,2,2,960,0,0,2,3,4,3,2,0,1,4,259680,0,2,1,0
18,2,2,480,2,0,2,3,4,3,7,0,2,4,242280,1,1,1,0
52,2,3,480,1,0,1,3,2,3,1,0,5,1,274515,0,1,0,0
45,2,3,540,2,1,1,3,4,3,4,0,3,4,264480,0,0,0,0
30,2,1,720,1,1,2,3,4,3,5,0,1,4,258390,0,2,1,0
38,2,2,840,0,0,2,3,3,3,8,0,2,0,260310,1,1,0,0
43,2,2,480,0,0,2,3,1,3,2,0,1,3,445575,0,2,1,0
43,1,3,960,1,0,2,3,1,4,2,0,1,3,436320,0,1,1,0
35,2,3,960,0,1,2,4,3,3,3,0,1,0,371775,0,0,0,0
26,2,1,840,1,1,1,3,4,3,8,0,4,4,267015,1,1,0,0
46,2,3,1020,2,1,2,3,1,4,5,0,2,3,336735,0,2,1,0
52,1,2,1020,1,0,2,3,1,4,2,0,1,3,404385,0,1,1,0
39,1,1,420,0,0,2,3,1,3,2,0,2,3,365130,0,2,0,0
46,1,2,540,2,1,2,3,0,4,2,0,2,2,483855,0,1,1,0
43,1,1,960,0,1,2,3,2,4,1,0,1,1,474720,0,1,0,0
46,1,1,780,1,0,2,3,4,3,4,0,2,4,257970,0,1,0,0
40,1,1,1020,1,1,2,3,4,3,1,0,2,4,268350,0,1,1,0
50,1,1,1020,0,1,2,3,3,3,1,0,2,0,400320,0,0,0,0
55,1,2,480,0,1,1,3,2,3,2,0,3,1,420780,0,0,1,0
50,2,1,780,0,0,1,3,1,3,1,0,4,4,269235,0,2,0,0
58,1,2,660,0,0,2,3,4,3,8,1,1,4,270540,0,1,0,0
27,1,2,420,0,1,2,3,4,3,4,1,2,4,258285,1,2,1,0
50,1,2,900,0,1,2,3,1,3,8,1,1,3,274380,1,1,0,0
36,2,3,840,1,1,2,3,3,3,4,1,1,2,431010,0,1,0,0
50,2,3,780,0,0,2,3,1,3,2,1,2,3,373845,0,1,0,0
34,2,2,840,1,0,3,5,4,3,6,0,1,4,343140,0,1,0,0
24,2,3,900,0,1,3,4,1,3,2,0,2,3,353670,0,0,1,0
53,1,1,840,0,0,3,4,3,3,3,0,2,2,449715,0,1,1,0
38,1,2,600,0,1,3,4,1,3,1,0,2,3,398475,0,2,1,0
45,1,1,480,0,0,3,4,1,3,2,0,2,3,390000,0,1,0,0
50,1,1,2160,1,0,3,4,3,3,3,0,1,2,490000,0,0,1,0
38,1,3,840,1,0,3,4,4,4,2,0,2,4,265110,0,1,0,0
41,1,1,480,2,0,3,4,3,3,3,0,2,2,385905,0,1,1,0
39,1,1,540,1,0,1,3,1,3,3,0,2,3,411855,0,1,0,0
30,1,1,480,0,0,1,3,4,3,4,0,2,4,257025,0,2,1,0
27,2,1,480,1,0,1,3,4,3,1,0,1,4,264345,0,1,1,0
31,1,2,480,1,0,1,3,4,3,7,0,2,4,251850,1,1,0,0
46,1,1,660,1,0,1,3,2,3,6,0,2,1,467460,0,2,0,0
40,2,1,420,0,1,1,3,3,3,2,0,2,2,476955,0,0,0,0
52,2,1,960,1,0,1,3,4,3,16,0,2,4,277005,0,1,0,0
30,1,1,420,2,1,2,4,4,3,2,0,2,4,245340,0,1,0,0
43,1,1,540,1,1,2,4,4,3,1,0,2,4,278595,0,2,1,0
27,2,2,900,2,0,2,4,4,3,6,1,2,4,296055,1,1,0,0
36,1,2,480,0,0,2,4,4,3,2,0,2,4,264990,0,1,1,0
40,2,1,840,1,1,1,1,1,3,1,0,1,3,430470,0,0,1,0
33,2,2,1080,1,0,1,3,3,3,1,0,1,2,342585,1,1,0,0
31,2,2,960,2,1,1,3,4,3,1,0,2,4,260000,1,1,0,0
31,2,2,840,0,1,1,3,3,3,2,0,1,0,332460,0,1,0,0
28,2,1,840,0,0,1,0,3,3,12,0,2,0,300000,0,1,1,0
26,1,2,1080,1,0,1,1,4,3,5,0,2,4,256650,1,2,0,0
38,2,1,780,1,0,1,3,4,3,2,0,1,4,275160,0,2,0,0
55,1,1,1440,1,0,2,3,3,3,7,0,2,2,428025,0,0,1,0
58,1,1,960,0,0,1,1,3,3,6,0,1,2,461010,0,0,1,0
31,2,3,960,1,0,1,3,4,3,2,0,1,4,245805,0,2,1,0
32,2,2,900,1,0,1,3,4,3,3,0,2,4,256545,1,1,0,0
60,1,1,660,1,0,1,1,3,4,6,1,1,2,400000,0,0,1,0
33,1,2,1380,1,1,1,1,4,3,2,1,1,4,260445,0,2,0,0
27,2,2,360,2,0,1,3,1,3,8,1,2,3,440280,1,1,0,0
