id,Age,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,NumberOfTrips,MonthlyIncome,ProdTaken,Motivation,EconomicPower,TripEasier,SalesPerformance,LivingCost,EconomicStability,NumberOfTrips_log,TravelCost,EconomicSegment,PackageMatch,Monetary,ContractRate_FM,ContractRate_G1,ContractRate_G2,ContractRate_G3,ContractRate_G4,ContractRate_G5,ContractRate_G6,TypeofContact_No,TypeofContact_Self Enquiry,CityTier_2,CityTier_3,Occupation_Salaried,Occupation_Small Business,Gender_male,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,PreferredPropertyStar_4,PreferredPropertyStar_5,Passport_1,PitchSatisfactionScore_2,PitchSatisfactionScore_3,PitchSatisfactionScore_4,PitchSatisfactionScore_5,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,Marry_Married,Marry_Single,Car_No Car,Child_1_child,Child_2_child,Child_3_child,AgeGroup_20s,AgeGroup_30s,AgeGroup_40s,AgeGroup_50s,AgeGroup_60s,TypeofContactNULL_1,Child01_1,IsFamily_1,FreaqencySeg_1,FreaqencySeg_2,MonetarySeg_2,MonetarySeg_3,MonetarySeg_4,AgeNull,DurationOfPitchNull,NumberOfTripsNull,MonthlyIncomeNull
0,-0.1067735310847933,0.0741923267585864,-1.908668665252153,0.3709190080682211,0.0943369201313644,-1.3363329463332347,1,0.8235975312244552,-0.2575550715281461,4.39658136891806,2.351728909462847,0.9211253272036022,0.2550184190509885,0.4756267514905234,-0.2609120508210393,0,1.10623591666638,0.3959443492985408,-0.0246523070073936,0.7403158087285345,2.302328101417925,2.1212634703304207,0.3805891284164808,2.064126105455361,0.4082697674460842,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0.0202462418037712,-0.0702973760839799,-1.908668665252153,0.3709190080682211,-0.5619771662860451,0.646687022796946,0,0.8235975312244552,1.3656856946491065,-0.0276434799960815,2.3757936349869606,-0.0877984075739239,1.0506166670669677,-0.727725794834046,-0.9276959667970982,1,1.10623591666638,-0.7034616999362429,-0.49053822271756,-0.2612619114326743,0.6904466937757355,0.3916262864972245,-0.3633135894519508,0.347559613699714,-0.3675156661677065,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,-0.1070891639942868,-0.6482561874542506,-1.908668665252153,-0.6698018758481625,-0.124434442007772,-1.0170900423569078,1,-1.427745036500856,0.2161751174673422,1.7420464595695753,1.875411730664848,-0.5274506898661535,0.3020795354306282,0.1591036294594577,-0.4362991619793322,2,1.10623591666638,0.1084153894287973,0.3019731032193649,0.5035501517916185,0.1847584090252447,0.550507363926578,0.9237252360505184,0.5684934614712347,0.934661601542313,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
3,-0.1070891632856595,0.507661435286289,-1.908668665252153,-0.6698018758481625,-0.7807485284251816,-0.3762336187806602,0,-1.427745036500856,-0.8855972751462097,-0.0276434799960815,2.147261538964681,0.7224372709167524,-0.3594009406565796,-1.4316419095812374,-0.5033646712774777,3,-0.6095485302102598,-1.4327193510743144,2.8892798373467423,-0.8269388307383084,-0.8437536821728546,-0.5726438803048634,-0.5866949783206902,-0.5759303365183056,-0.5919379446659863,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.1070464477292382,0.3631717324437216,-1.908668665252153,-0.6698018758481625,-0.124434442007772,-1.2766724531396427,1,-1.427745036500856,-2.0521745313533675,4.39658136891806,1.7319671646360069,2.604915926008781,-1.3438867305791735,0.1591036294594577,0.8187959163441731,4,-0.6095485302102598,0.0923885543836952,0.3019731032193649,-0.4392533037973576,-0.5564804328908642,0.2909595720942334,0.6675148414641134,0.2921437352973458,0.6716681570508483,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,-0.1070891639990938,0.2186820296011545,-1.908668665252153,-0.6698018758481625,-0.5619771662860451,-1.256061267301238,0,-1.427745036500856,-0.2519913415380305,4.39658136891806,1.7472400573197748,0.9345065100569232,-1.341549702816348,-0.727725794834046,-0.9276959667970982,5,1.10623591666638,-0.7692385144441366,-0.49053822271756,3.366526285672974,3.10826880523902,3.109627575377962,3.684429648830453,3.0265770615166474,3.5835350179097043,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,-0.1070734495616104,-0.0702973760839799,-1.908668665252153,-0.6698018758481625,-0.124434442007772,1.2881361002791116,0,-1.427745036500856,-1.649040301102683,0.8572014897867468,1.7818452262402205,2.9971720900876093,0.2484767465011435,0.1591036294594577,0.8187959163441731,6,1.10623591666638,0.2148593558016047,0.3019731032193649,-0.8206271734288395,-0.7792098837803787,-0.8331520720724913,-0.8591069789993786,-0.6461466008689062,-0.7111457784800725,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,-0.1069730491389656,1.0856202466565592,-1.908668665252153,-0.6698018758481625,0.7506510065487739,-1.231038102385601,0,-1.427745036500856,-0.2502835963788115,1.7420464595695753,1.6698801876895597,0.2988377301342939,-1.3387312500700572,1.179542866237716,0.1291315361089621,5,1.10623591666638,1.0888273415030747,-0.0246523070073936,1.1506611957511033,0.67565879095333,0.2909595720942334,0.6675148414641134,0.2921437352973458,0.6716681570508483,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
8,-0.1070891639860268,0.7966408409714274,-1.908668665252153,-0.6698018758481625,-0.124434442007772,-1.4167363262332109,1,-1.427745036500856,-0.9355266605071968,4.39658136891806,1.692307517807359,0.907396232235812,0.2424569659642974,0.1591036294594577,-0.4362991619793322,0,1.10623591666638,0.0832253090844747,-0.49053822271756,0.5035501517916185,0.1847584090252447,0.550507363926578,0.9237252360505184,0.5684934614712347,0.934661601542313,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,-0.1070891639973254,-0.5037664846116836,-1.908668665252153,-0.6698018758481625,-0.5619771662860451,-1.287537774747746,0,-1.427745036500856,1.2069660266436,1.7420464595695753,1.3859472074176369,-0.8022931995862151,1.431673219818948,-0.727725794834046,-0.9276959667970982,7,1.10623591666638,-0.7706130901904555,-0.49053822271756,1.1432995177114955,0.7666447239551842,0.550507363926578,0.9237252360505184,-0.5759303365183056,-0.5919379446659863,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
