id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child,AgeGroup,NumberOfTrips_log,TypeofContactNULL,Motivation,EconomicPower,Child01,TripEasier,SalesPerformance,LivingCost,EconomicStability,TripFreaqency,TravelCost,EconomicSegment,PackageMatch
0,50,Self Enquiry,2,6.803505257608338,Large Business,male,1,4,Basic,3,5,1,4,Executive,253905.0,1,Single,No Car,0_child,50s,1.791759469228055,0,14,660153.0,0,48,2.351728909462847,195311.53846153847,335154.60000000003,1,2.791759469228055,0,1.0
1,56,Company Invited,1,6.734591659972948,Salaried,male,1,4,Standard,3,2,1,4,Senior Manager,404475.0,0,Divorced,Has Car,0_child,50s,1.0986122886681098,0,14,1577452.5,0,8,2.3757936349869606,256809.5238095238,578399.2500000001,0,2.09861228866811,1,1.0
2,32,Self Enquiry,1,6.398594934535208,Large Business,female,1,3,Basic,3,4,0,4,Executive,278145.0,1,Married,No Car,0_child,30s,1.6094379124341003,0,3,834435.0,0,24,1.8754117306648475,168572.72727272726,367151.4,0,2.6094379124341005,2,1.0
3,37,Self Enquiry,2,6.985641817639208,Small Business,female,1,3,Standard,4,1,0,5,Senior Manager,326805.0,0,Divorced,Has Car,0_child,30s,0.6931471805599453,0,3,653610.0,0,8,2.147261538964681,239417.5824175824,382361.85000000003,0,2.539720770839918,3,0.8
4,48,Company Invited,3,6.928537818164665,Small Business,female,1,3,Basic,4,4,0,4,Executive,258435.0,1,Single,Has Car,0_child,40s,1.6094379124341003,0,3,258435.0,0,48,1.7319671646360069,246128.57142857142,255850.65000000002,0,3.9141568686511508,4,0.8
5,19,Self Enquiry,2,6.8679744089702925,Small Business,male,1,3,Basic,3,2,0,4,Executive,260000.0,0,Single,No Car,0_child,10s,1.0986122886681098,0,3,676000.0,0,48,1.7472400573197748,200000.0,257400.00000000003,0,2.09861228866811,5,1.0
6,47,Company Invited,3,6.734591659972948,Small Business,male,1,3,Deluxe,4,4,0,4,AVP,453180.0,0,Single,Has Car,0_child,40s,1.6094379124341003,0,3,589134.0,0,16,1.7818452262402205,431600.0,571006.7999999999,0,3.9141568686511508,6,1.0
7,49,Self Enquiry,2,7.186144304522325,Small Business,male,1,3,Basic,3,8,0,4,Executive,261900.0,0,Married,No Car,0_child,40s,2.1972245773362196,0,3,680940.0,0,24,1.6698801876895595,183146.85314685313,259281.00000000003,1,3.1972245773362196,5,1.0
8,33,Company Invited,2,7.090909822079984,Large Business,female,1,3,Basic,3,4,0,4,Executive,247800.0,1,Single,No Car,0_child,30s,1.6094379124341003,0,3,495600.0,0,48,1.692307517807359,190615.3846153846,327096.0,0,2.6094379124341005,0,1.0
9,31,Company Invited,1,6.493753839851686,Large Business,male,1,3,Basic,3,2,0,3,Senior Manager,257610.0,0,Married,Has Car,0_child,30s,1.0986122886681098,0,3,1004679.0,0,24,1.3859472074176369,149339.1304347826,401871.60000000003,0,2.09861228866811,7,1.0
10,51,Company Invited,1,6.734591659972948,Small Business,female,1,3,Standard,3,4,0,3,Senior Manager,351900.0,0,Single,Has Car,0_child,50s,1.6094379124341003,0,3,1055700.0,0,16,1.3363839196801655,223428.5714285714,411723.0,0,2.6094379124341005,8,1.0
11,46,Self Enquiry,1,6.8679744089702925,Small Business,male,1,3,Deluxe,4,24,0,3,AVP,416430.0,0,Divorced,Has Car,0_child,40s,3.2188758248682006,0,3,1624077.0,0,8,1.310430042989831,264399.99999999994,524701.7999999999,2,6.3283137373023015,9,1.0
12,49,Company Invited,1,7.560601162768557,Small Business,female,1,3,Deluxe,3,4,0,3,AVP,477555.0,0,Single,Has Car,0_child,40s,1.6094379124341003,0,3,1432665.0,0,16,1.1903815326643101,303209.5238095238,601719.2999999999,0,2.6094379124341005,9,0.8
13,51,Self Enquiry,2,6.928537818164665,Small Business,female,1,3,Deluxe,4,5,0,4,AVP,440000.0,0,Married,Has Car,0_child,50s,1.791759469228055,0,3,880000.0,0,8,1.7319671646360069,294314.38127090293,554400.0,1,4.187639203842083,10,1.0
14,53,Company Invited,2,6.734591659972948,Small Business,female,1,3,Basic,3,1,0,3,Executive,300000.0,1,Single,Has Car,0_child,50s,0.6931471805599453,0,3,600000.0,0,48,1.3363839196801655,219780.21978021975,297000.0,0,1.6931471805599454,5,1.0
15,20,Self Enquiry,1,7.273092595999522,Small Business,female,1,3,Basic,3,8,0,4,Executive,253665.0,1,Single,Has Car,0_child,20s,2.1972245773362196,0,3,760995.0,0,48,1.64991712144576,161057.14285714284,251128.35,1,3.1972245773362196,11,1.0
16,25,Company Invited,2,7.2305631534092925,Small Business,male,1,3,Basic,3,1,0,3,Executive,258600.0,1,Single,No Car,0_child,20s,0.6931471805599453,0,3,672360.0,0,48,1.24471632555431,198923.0769230769,256014.00000000003,0,1.6931471805599454,5,1.0
17,53,Self Enquiry,2,7.650168700845001,Small Business,male,1,3,Deluxe,3,4,0,3,AVP,500000.0,1,Single,Has Car,0_child,50s,1.6094379124341003,0,3,1300000.0,0,16,1.1764446448097157,366300.36630036624,630000.0,0,2.6094379124341005,10,0.8
