id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child,AgeGroup,TypeofContactNULL,Motivation,EconomicPower,Child01,TripEasier,SalesPerformance,LivingCost,EconomicStability,TripFreaqency,NumberOfTrips_log,TravelCost,EconomicSegment,PackageMatch
0,50,Self Enquiry,2,6.803505257608338,Large Business,male,1,4,Basic,3,5,1,4,Executive,12.44471939876448,1,Single,No Car,0_child,50s,0,14,32.356270436787646,0,48,2.351728909462847,9.572861075972677,16.427029606369114,1,1.791759469228055,2.791759469228055,0,1.0
1,56,Company Invited,1,6.734591659972948,Salaried,male,1,4,Standard,3,2,1,4,Senior Manager,12.910347681211167,0,Divorced,Has Car,0_child,50s,0,14,50.35035595672356,0,8,2.3757936349869606,8.19704614680074,18.46179718413197,0,1.0986122886681098,2.09861228866811,1,1.0
3,37,Self Enquiry,2,6.985641817639208,Small Business,female,1,3,Standard,4,1,0,5,Senior Manager,12.697122001652566,0,Divorced,Has Car,0_child,30s,0,3,25.394244003305133,0,8,2.147261538964681,9.301920880331549,14.855632741933503,0,0.6931471805599453,2.539720770839918,3,0.8
4,48,Company Invited,3,6.928537818164665,Small Business,female,1,3,Basic,4,4,0,4,Executive,12.462403360072058,1,Single,Has Car,0_child,40s,0,3,12.462403360072058,0,48,1.7319671646360069,11.868955581021007,12.337779326471338,0,1.6094379124341003,3.9141568686511508,4,0.8
5,19,Self Enquiry,2,6.8679744089702925,Small Business,male,1,3,Basic,3,2,0,4,Executive,12.468440756144114,0,Single,No Car,0_child,10s,0,3,32.417945965974695,0,48,1.7472400573197748,9.59110827395701,12.343756348582673,0,1.0986122886681098,2.09861228866811,5,1.0
6,47,Company Invited,3,6.734591659972948,Small Business,male,1,3,Deluxe,4,4,0,4,AVP,13.024046883161828,0,Single,Has Car,0_child,40s,0,3,16.931260948110378,0,16,1.7818452262402205,12.403854174439836,16.410299072783904,0,1.6094379124341003,3.9141568686511508,6,1.0
7,49,Self Enquiry,2,7.186144304522325,Small Business,male,1,3,Basic,3,8,0,4,Executive,12.475721848739754,0,Married,No Car,0_child,40s,0,3,32.43687680672336,0,24,1.6698801876895595,8.724281013104722,12.350964630252358,1,2.1972245773362196,3.1972245773362196,5,1.0
8,33,Company Invited,2,7.090909822079984,Large Business,female,1,3,Basic,3,4,0,4,Executive,12.420381283681548,1,Single,No Car,0_child,30s,0,3,24.840762567363097,0,48,1.692307517807359,9.554139448985806,16.394903294459645,0,1.6094379124341003,2.6094379124341005,0,1.0
9,31,Company Invited,1,6.493753839851686,Large Business,male,1,3,Basic,3,2,0,3,Senior Manager,12.459205974163991,0,Married,Has Car,0_child,30s,0,3,48.590903299239564,0,24,1.3859472074176369,7.222728100964632,19.436361319695827,0,1.0986122886681098,2.09861228866811,7,1.0
10,51,Company Invited,1,6.734591659972948,Small Business,female,1,3,Standard,3,4,0,3,Senior Manager,12.771105165022036,0,Single,Has Car,0_child,50s,0,3,38.31331549506611,0,16,1.3363839196801655,8.10863820001399,14.942193043075783,0,1.6094379124341003,2.6094379124341005,8,1.0
11,46,Self Enquiry,1,6.8679744089702925,Small Business,male,1,3,Deluxe,4,24,0,3,AVP,12.939476060598356,0,Divorced,Has Car,0_child,40s,0,3,50.46395663633359,0,8,1.310430042989831,8.215540355935463,16.30373983635393,2,3.2188758248682006,6.3283137373023015,9,1.0
12,49,Company Invited,1,7.560601162768557,Small Business,female,1,3,Deluxe,3,4,0,3,AVP,13.076436709513366,0,Single,Has Car,0_child,40s,0,3,39.2293101285401,0,16,1.1903815326643101,8.302499498103725,16.476310253986842,0,1.6094379124341003,2.6094379124341005,9,0.8
13,51,Self Enquiry,2,6.928537818164665,Small Business,female,1,3,Deluxe,4,5,0,4,AVP,12.994532278619134,0,Married,Has Car,0_child,50s,0,3,25.98906455723827,0,8,1.7319671646360069,8.691994835196743,16.373110671060108,1,1.791759469228055,4.187639203842083,10,1.0
14,53,Company Invited,2,6.734591659972948,Small Business,female,1,3,Basic,3,1,0,3,Executive,12.611541086966117,1,Single,Has Car,0_child,50s,0,3,25.223082173932234,0,48,1.3363839196801655,9.239224239535615,12.485425676096456,0,0.6931471805599453,1.6931471805599454,5,1.0
15,20,Self Enquiry,1,7.273092595999522,Small Business,female,1,3,Basic,3,8,0,4,Executive,12.443773720051366,1,Single,Has Car,0_child,20s,0,3,37.3313211601541,0,48,1.64991712144576,7.900808711143724,12.319335982850854,1,2.1972245773362196,3.1972245773362196,11,1.0
16,25,Company Invited,2,7.2305631534092925,Small Business,male,1,3,Basic,3,1,0,3,Executive,12.463041612288444,1,Single,No Car,0_child,20s,0,3,32.40390819194996,0,48,1.24471632555431,9.586955086375726,12.338411196165561,0,0.6931471805599453,1.6931471805599454,5,1.0
17,53,Self Enquiry,2,7.650168700845001,Small Business,male,1,3,Deluxe,3,4,0,3,AVP,13.122365377402328,1,Single,Has Car,0_child,50s,0,3,34.118149981246056,0,16,1.1764446448097157,9.613454488939434,16.534180375526933,0,1.6094379124341003,2.6094379124341005,10,0.8
18,20,Company Invited,2,6.042632833682381,Small Business,female,1,3,Standard,3,1,1,3,Senior Manager,12.899222326086994,0,Married,No Car,0_child,20s,0,13,25.798444652173988,0,8,1.4894169888716204,9.020435193067827,15.092090121521784,0,0.6931471805599453,1.6931471805599454,3,1.0
19,44,Company Invited,2,5.707110264748875,Small Business,male,1,3,Deluxe,3,1,1,4,AVP,12.564606859953823,0,Married,No Car,0_child,40s,0,13,32.66797783587994,0,8,2.1026402931305594,8.786438363604072,15.831404643541816,0,0.6931471805599453,1.6931471805599454,10,0.8
20,30,Self Enquiry,1,6.175867270105761,Salaried,male,1,3,Standard,3,2,0,3,Senior Manager,13.02860419418272,0,Single,No Car,0_child,30s,0,3,50.811556357312604,0,16,1.457285204875505,8.685736129455146,18.63090399768129,0,1.0986122886681098,2.09861228866811,1,1.0
21,34,Company Invited,2,6.8679744089702925,Salaried,female,1,3,Basic,3,2,0,4,Executive,12.482628045510204,0,Divorced,Has Car,0_child,30s,0,3,24.965256091020407,0,24,1.7472400573197748,9.144782450923225,15.103979935067349,0,1.0986122886681098,2.09861228866811,12,1.0
22,29,Company Invited,1,6.175867270105761,Salaried,female,1,3,Basic,3,1,0,3,Executive,12.478866942987851,1,Divorced,No Car,0_child,20s,0,3,37.436600828963556,0,24,1.457285204875505,8.319244628658568,15.099429001015302,0,0.6931471805599453,1.6931471805599454,13,1.0
