TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken,age,duration
Self Enquiry,2,Large Business,male,1.0,4.0,Basic,3.0,5,1,4,Executive,253905.0,未婚 車未所持 子供なし,1,50,900.0
Company Invited,1,Salaried,Male,1.0,4.0,Standard,3.0,2,1,4,Senior Manager,404475.0,"離婚済み,車あり,子供無し",0,56,840.0
Self Enquiry,1,Large Business,Female,1.0,3.0,Basic,3.0,4,0,4,Executive,278145.0,"結婚済み、自動車未所有,子供なし",1,38,600.0
Self Enquiry,2,Small Business,female,1.0,3.0,Standard,4.0,1,0,5,Senior Manager,326805.0,離婚済み、車所持、子供無し,0,37,1080.0
Company Invited,3,Small Business,female,1.0,3.0,Basic,4.0,4,0,4,Executive,258435.0,独身／車所持／無子,1,48,1020.0
Self Enquiry,2,Small Business,Male,1.0,3.0,Basic,3.0,2,0,4,Executive,月収26.0万円,独身、車未所持、子供ゼロ,0,19,960.0
Company Invited,3,Small Business,Male,1.0,3.0,Super Deluxe,4.0,年に1回,0,4,AVP,453180.0,独身 自家用車あり 子供なし,0,47,840.0
Self Enquiry,2,Small Business,Male,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,261900.0,結婚済み、車未所持、子供なし,0,49,1320.0
Company Invited,2,Large Business,female,1.0,3.0,basic,3.0,4,0,4,Executive,247800.0,独身/車未所持/子供無し,1,33,1200.0
Company Invited,1,Large Business,male,1.0,3.0,Basic,3.0,2,0,3,Senior Manager,257610.0,結婚済み、車所持、非育児家庭,0,31,660.0
Company Invited,1,Small Business,Female,1.0,3.0,Standard,3.0,4,0,3,Senior Manager,351900.0,"未婚,車保有、子供なし",0,51,840.0
Self Enquiry,1,Small Business,Male,1.0,3.0,Super Deluxe,4.0,年に6回,0,3,AVP,416430.0,離婚済み/車あり/子供なし,0,46,960.0
Company Invited,1,Small Business,ｆｅｍａｌｅ,1.0,3.0,SUPER DELUXE,3.0,4,0,3,AVP,477555.0,独身 車所持 子供なし,0,49,1920.0
Self Enquiry,2,Small Business,FEMALE,1.0,3.0,Super Deluxe,4.0,5,0,4,AVP,月収44.0万円,結婚済み、車所持、非育児家庭,0,51,1020.0
Company Invited,2,Small Business,FEMALE,1.0,3.0,Basic,3.0,1,0,3,Executive,月収30.0万円,独身／車所持／無子,1,53,840.0
Self Enquiry,1,Small Business,female,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,253665.0,独身 車所持 子供なし,1,20,1440.0
Company Invited,2,Small Business,male,1.0,3.0,Basic,3.0,1,0,3,Executive,258600.0,独身　車未所持　子供なし,1,25,1380.0
Self Enquiry,2,Small Business,male,1.0,3.0,super deluxe,3.0,4,0,3,AVP,月収50.0万円,未婚、車所持、子供無し,1,53,2100.0
Company Invited,2,Small Business,Female,1.0,3.0,Standard,3.0,1,1,3,Senior Manager,月収40.0万円,結婚済み、自動車未所有、子供無し,0,20,420.0
Company Invited,2,Small Business,Ｍａｌｅ,1.0,3.0,Super Deluxe,3.0,1,1,4,AVP,286245.0,結婚済み	自動車未所有	子供なし,0,44,300.0
Self Enquiry,1,Salaried,Fe Male,1.0,3.0,Standard,3.0,2,0,3,Senior Manager,455250.0,未婚/車保有なし/子供なし,0,30,480.0
Company Invited,2,Salaried,Female,1.0,3.0,BASIC,3.0,2,0,4,Executive,263715.0,離婚済み、乗用車所持、子供なし,0,34,960.0
Company Invited,1,Salaried,Female,1.0,3.0,BASIC,3.0,1,0,3,Executive,262725.0,離婚済み 自動車未所有　子供なし,1,29,480.0
Company Invited,2,Salaried,Male,1.0,3.0,Super Deluxe,3.0,1,0,3,AVP,431265.0,結婚済み、車あり、子供無し,0,56,900.0
Self Enquiry,2,Salaried,male,1.0,3.0,Basic,3.0,2,0,4,Executive,250275.0,離婚済み、車所持、子供なし,0,30,960.0
Company Invited,2,Salaried,Male,1.0,3.0,Deluxe,3.0,1,0,4,Manager,303345.0,結婚済み、乗用車なし、子供なし,0,41,780.0
Self Enquiry,1,Salaried,FEMALE,1.0,3.0,deluxe,3.0,1,0,4,Manager,256845.0,独身 車所持 子供なし,0,38,780.0
Company Invited,1,Salaried,Fe Male,1.0,3.0,STANᗞARD,3.0,2,0,3,Senior Manager,368940.0,未婚、自動車所有、子供なし,0,50,840.0
Self Enquiry,1,Salaried,Fe Male,1.0,3.0,Super Deluxe,3.0,4,0,3,AVP,456405.0,結婚済み　自家用車あり　子供なし,0,52,1020.0
Self Enquiry,2,Salaried,MALE,1.0,3.0,Basic,3.0,1,0,4,Executive,258885.0,"独身,車未所持,子供なし",1,22,600.0
Company Invited,2,Salaried,FEMALE,1.0,3.0,Deluxe,3.0,1,1,3,Manager,316680.0,結婚済み 車未所持 子供無し,0,36,900.0
Self Enquiry,3,Salaried,female,1.0,3.0,Super Deluxe,3.0,2,1,5,AVP,月収50.0万円,"離婚済み,自動車所有,子供なし",0,52,1920.0
Company Invited,3,Salaried,male,1.0,3.0,Standard,3.0,5,1,4,Senior Manager,359730.0,未婚、車所持、子供なし,0,46,480.0
Company Invited,2,Salaried,Female,1.0,3.0,Standard,3.0,2,1,3,Senior Manage𝙧,月収41.0万円,"結婚済み
自動車未所有
子供なし",0,30,900.0
Self Enquiry,1,Salaried,female,1.0,3.0,Basic,3.0,5,1,3,Executive,月収27.0万円,独身／車未所持／子供なし,0,28,540.0
Self Enquiry,2,Salaried,Male,1.0,3.0,Basic,3.0,2,1,4,Executive,255405.0,独身 車保有 子供無し,1,25,840.0
Company Invited,1,Small Business,FEMALE,1.0,4.0,Super Deluxe,3.0,1,0,2,AVP,485055.0,独身、車所持、子供ゼロ,0,51,1560.0
Self Enquiry,3,Salaried,ｆｅ　ｍａｌｅ,1.0,4.0,STANDARD,4.0,5,0,1,Senior Manager,月収37.0万円,未婚 車未所持 子供なし,0,50,780.0
Company Invited,1,Salaried,female,1.0,4.0,Standard,3.0,2,0,1,Senior Manager,401775.0,未婚、車所持、子供無し,0,48,720.0
Company Invited,1,Small Business,female,1.0,5.0,Standard,3.0,4,0,3,Senior Manager,477000.0,結婚済み、車所持、無子,0,50,480.0
Company Invited,2,Salaried,Male,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,378210.0,結婚済み、自動車未所有、子供無し,1,38,840.0
Self Enquiry,2,Large Business,Female,1.0,3.0,Basic,3.0,年に2回,0,2,Executive,248490.0,独身/自家用車あり/子供無し,1,33,840.0
Company Invited,2,Salaried,male,1.0,3.0,Deluxe,3.0,2,0,2,Manager,268440.0,結婚済み　車未所持　子供なし,0,42,600.0
Company Invited,2,Salaried,MALE,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,362580.0,独身、車未所持、子供なし,0,50,1260.0
Self Enquiry,1,Salaried,ｆｅｍａｌｅ,1.0,3.0,Deluxe,3.0,1,0,1,Manager,282075.0,結婚済み/車未所持/子供なし,0,33,780.0
Company Invited,1,Large Business,FEMALE,1.0,3.0,Standard,4.0,1,0,1,Senior Manager,356760.0,結婚済み、車所持、子供なし,0,35,780.0
Company Invited,2,Small Business,Male,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,364980.0,結婚済み、自動車未所有、子供なし,0,59,480.0
Company Invited,2,Small Business,Male,1.0,3.0,STANDARD,3.0,5,0,2,Manager,350310.0,結婚済み、自動車所有、子供無し,0,43,840.0
Company Invited,2,Salaried,Male,1.0,4.0,STANDARD,3.0,3,0,2,Senior Manager,429570.0,"未婚,自家用車なし,子供なし",1,32,1500.0
Self Enquiry,1,Small Business,Female,1.0,3.0,Вasic,3.0,1,0,1,Executive,272475.0,離婚済み／自家用車なし/子供なし,0,47,900.0
Company Invited,2,Small Business,male,1.0,3.0,Basic,3.0,2,0,1,Executive,273840.0,離婚済み 車未所持 子供ゼロ,0,42,960.0
Self Enquiry,1,Salaried,Male,1.0,3.0,Standard,3.0,1,0,1,Senior Manager,372150.0,未婚 車保有 子供なし,0,53,720.0
Self Enquiry,1,Salaried,Male,1.0,3.0,Super Deluxe,4.0,年に5回,0,1,AVP,462615.0,結婚済み　車所持　子供なし,0,56,660.0
Company Invited,1,Salaried,Male,1.0,3.0,Standard,3.0,5,0,2,Senior Manager,345690.0,未婚、車未所持、子供無し,0,33,660.0
Company Invited,1,Salaried,Female,1.0,3.0,Deluxe,3.0,4,0,1,Manager,397245.0,未婚 車保有なし 子供ゼロ,0,58,840.0
Company Invited,2,Salaried,Female,1.0,3.0,DELUXE,3.0,5,0,2,Manager,297855.0,結婚済み/車所持/子供なし,0,33,960.0
Company Invited,1,Small Business,Male,1.0,3.0,BASIC,3.0,年に1回,0,1,Executive,269895.0,独身 車所持 子供無し,0,32,540.0
