id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child,AgeGroup
0,50,Self Enquiry,2,900.0,Large Business,male,1.0,4.0,Basic,3.0,5.0,1,4,Executive,12.44471939876448,1,Single,No Car,0_child,50s
1,56,Company Invited,1,840.0,Salaried,male,1.0,4.0,Standard,3.0,2.0,1,4,Senior Manager,12.910347681211167,0,Divorced,Has Car,0_child,50s
2,32,Self Enquiry,1,600.0,Large Business,female,1.0,3.0,Basic,3.0,4.0,0,4,Executive,12.535901434670214,1,Married,No Car,0_child,30s
3,37,Self Enquiry,2,1080.0,Small Business,female,1.0,3.0,Standard,4.0,1.0,0,5,Senior Manager,12.697122001652566,0,Divorced,Has Car,0_child,30s
4,48,Company Invited,3,1020.0,Small Business,female,1.0,3.0,Basic,4.0,4.0,0,4,Executive,12.462403360072058,1,Single,Has Car,0_child,40s
5,19,Self Enquiry,2,960.0,Small Business,male,1.0,3.0,Basic,3.0,2.0,0,4,Executive,12.468440756144114,0,Single,No Car,0_child,10s
6,47,Company Invited,3,840.0,Small Business,male,1.0,3.0,Deluxe,4.0,4.0,0,4,AVP,13.024046883161828,0,Single,Has Car,0_child,40s
7,49,Self Enquiry,2,1320.0,Small Business,male,1.0,3.0,Basic,3.0,8.0,0,4,Executive,12.475721848739754,0,Married,No Car,0_child,40s
8,33,Company Invited,2,1200.0,Large Business,female,1.0,3.0,Basic,3.0,4.0,0,4,Executive,12.420381283681548,1,Single,No Car,0_child,30s
9,31,Company Invited,1,660.0,Large Business,male,1.0,3.0,Basic,3.0,2.0,0,3,Senior Manager,12.459205974163991,0,Married,Has Car,0_child,30s
10,51,Company Invited,1,840.0,Small Business,female,1.0,3.0,Standard,3.0,4.0,0,3,Senior Manager,12.771105165022036,0,Single,Has Car,0_child,50s
11,46,Self Enquiry,1,960.0,Small Business,male,1.0,3.0,Deluxe,4.0,24.0,0,3,AVP,12.939476060598356,0,Divorced,Has Car,0_child,40s
12,49,Company Invited,1,1920.0,Small Business,female,1.0,3.0,Deluxe,3.0,4.0,0,3,AVP,13.076436709513366,0,Single,Has Car,0_child,40s
13,51,Self Enquiry,2,1020.0,Small Business,female,1.0,3.0,Deluxe,4.0,5.0,0,4,AVP,12.994532278619134,0,Married,Has Car,0_child,50s
14,53,Company Invited,2,840.0,Small Business,female,1.0,3.0,Basic,3.0,1.0,0,3,Executive,12.611541086966117,1,Single,Has Car,0_child,50s
15,20,Self Enquiry,1,1440.0,Small Business,female,1.0,3.0,Basic,3.0,8.0,0,4,Executive,12.443773720051366,1,Single,Has Car,0_child,20s
16,25,Company Invited,2,1380.0,Small Business,male,1.0,3.0,Basic,3.0,1.0,0,3,Executive,12.463041612288444,1,Single,No Car,0_child,20s
17,53,Self Enquiry,2,2100.0,Small Business,male,1.0,3.0,Deluxe,3.0,4.0,0,3,AVP,13.122365377402328,1,Single,Has Car,0_child,50s
18,20,Company Invited,2,420.0,Small Business,female,1.0,3.0,Standard,3.0,1.0,1,3,Senior Manager,12.899222326086994,0,Married,No Car,0_child,20s
19,44,Company Invited,2,300.0,Small Business,male,1.0,3.0,Deluxe,3.0,1.0,1,4,AVP,12.564606859953823,0,Married,No Car,0_child,40s
20,30,Self Enquiry,1,480.0,Salaried,male,1.0,3.0,Standard,3.0,2.0,0,3,Senior Manager,13.02860419418272,0,Single,No Car,0_child,30s
21,34,Company Invited,2,960.0,Salaried,female,1.0,3.0,Basic,3.0,2.0,0,4,Executive,12.482628045510204,0,Divorced,Has Car,0_child,30s
22,29,Company Invited,1,480.0,Salaried,female,1.0,3.0,Basic,3.0,1.0,0,3,Executive,12.478866942987851,1,Divorced,No Car,0_child,20s
23,56,Company Invited,2,900.0,Salaried,male,1.0,3.0,Deluxe,3.0,1.0,0,3,AVP,12.97448034808874,0,Married,Has Car,0_child,50s
24,30,Self Enquiry,2,960.0,Salaried,male,1.0,3.0,Basic,3.0,2.0,0,4,Executive,12.430319587884537,0,Divorced,Has Car,0_child,30s
25,41,Company Invited,2,,Salaried,male,1.0,3.0,Deluxe,3.0,1.0,0,4,Manager,12.622629347194833,0,Married,No Car,0_child,40s
26,39,Self Enquiry,1,,Salaried,female,1.0,3.0,Deluxe,3.0,1.0,0,4,Manager,12.456231962482343,0,Single,Has Car,0_child,30s
27,50,Company Invited,1,840.0,Salaried,male,1.0,3.0,Standard,3.0,2.0,0,3,Senior Manager,12.818392018639724,0,Single,Has Car,0_child,50s
28,52,Self Enquiry,1,1020.0,Salaried,male,1.0,3.0,Deluxe,3.0,4.0,0,3,AVP,13.031138043246484,0,Married,Has Car,0_child,50s
29,22,Self Enquiry,2,600.0,Salaried,male,1.0,3.0,Basic,3.0,1.0,0,4,Executive,12.46414308934512,1,Single,No Car,0_child,20s
30,36,Company Invited,2,900.0,Salaried,female,1.0,3.0,Deluxe,3.0,1.0,1,3,Manager,12.665650237042165,0,Married,No Car,0_child,30s
31,52,Self Enquiry,3,1920.0,Salaried,female,1.0,3.0,Deluxe,3.0,2.0,1,5,AVP,13.122365377402328,0,Divorced,Has Car,0_child,50s
32,46,Company Invited,3,480.0,Salaried,male,1.0,3.0,Standard,3.0,5.0,1,4,Senior Manager,12.7931118089004,0,Single,Has Car,0_child,40s
33,30,Company Invited,2,900.0,Salaried,female,1.0,3.0,Standard,3.0,2.0,1,3,Senior Manager,12.923914877701906,0,Married,No Car,0_child,30s
34,28,Self Enquiry,1,540.0,Salaried,female,1.0,3.0,Basic,3.0,5.0,1,3,Executive,12.506180941677355,0,Single,No Car,0_child,20s
35,25,Self Enquiry,2,840.0,Salaried,male,1.0,3.0,Basic,3.0,2.0,1,4,Executive,12.45060971486532,1,Single,Has Car,0_child,20s
36,51,Company Invited,1,1560.0,Small Business,female,1.0,4.0,Deluxe,3.0,1.0,0,2,AVP,13.092019627171702,0,Single,Has Car,0_child,50s
37,50,Self Enquiry,3,780.0,Salaried,female,1.0,4.0,Standard,4.0,5.0,0,1,Senior Manager,12.821260987319455,0,Single,No Car,0_child,50s
38,48,Company Invited,1,720.0,Salaried,female,1.0,4.0,Standard,3.0,2.0,0,1,Senior Manager,12.903649998369437,0,Single,Has Car,0_child,40s
39,50,Company Invited,1,480.0,Small Business,female,1.0,5.0,Standard,3.0,4.0,0,3,Senior Manager,13.07527386630434,0,Married,Has Car,0_child,50s
40,38,Company Invited,2,840.0,Salaried,male,1.0,3.0,Standard,3.0,1.0,0,2,Senior Manager,12.843207519923666,1,Married,No Car,0_child,30s
41,33,Self Enquiry,2,840.0,Large Business,female,1.0,3.0,Basic,3.0,8.0,0,2,Executive,12.423161906559136,1,Single,Has Car,0_child,30s
42,42,Company Invited,2,600.0,Salaried,male,1.0,3.0,Deluxe,3.0,2.0,0,2,Manager,12.500386429492476,0,Married,No Car,0_child,40s
43,50,Company Invited,2,1260.0,Salaried,male,1.0,3.0,Standard,3.0,1.0,0,2,Senior Manager,12.80100317659188,0,Single,No Car,0_child,50s
44,33,No,1,,Salaried,female,1.0,3.0,Deluxe,3.0,1.0,0,1,Manager,12.549931817156793,0,Married,No Car,0_child,30s
45,35,Company Invited,1,780.0,Large Business,female,1.0,3.0,Standard,4.0,1.0,0,1,Senior Manager,12.784821368781037,0,Married,Has Car,0_child,30s
46,59,Company Invited,2,480.0,Small Business,male,1.0,3.0,Standard,3.0,1.0,0,2,Senior Manager,12.80760057641521,0,Married,No Car,0_child,50s
47,43,Company Invited,2,840.0,Small Business,male,1.0,3.0,Standard,3.0,5.0,0,2,Manager,12.76657661034828,0,Married,Has Car,0_child,40s
48,32,Company Invited,2,1500.0,Salaried,male,1.0,4.0,Standard,3.0,3.0,0,2,Senior Manager,12.970542315242756,1,Single,No Car,0_child,30s
49,47,Self Enquiry,1,900.0,Small Business,female,1.0,3.0,Basic,3.0,1.0,0,1,Executive,12.515305815812251,0,Divorced,No Car,0_child,40s
50,42,Company Invited,2,960.0,Small Business,male,1.0,3.0,Basic,3.0,2.0,0,1,Executive,12.520302924964854,0,Divorced,No Car,0_child,40s
51,53,Self Enquiry,1,720.0,Salaried,male,1.0,3.0,Standard,3.0,1.0,0,1,Senior Manager,12.827054964872984,0,Single,Has Car,0_child,50s
52,56,Self Enquiry,1,660.0,Salaried,male,1.0,3.0,Deluxe,4.0,20.0,0,1,AVP,13.044652615297654,0,Married,Has Car,0_child,50s
53,33,Company Invited,1,660.0,Salaried,male,1.0,3.0,Standard,3.0,5.0,0,2,Senior Manager,12.75330059143718,0,Single,No Car,0_child,30s
54,58,Company Invited,1,840.0,Salaried,female,1.0,3.0,Deluxe,3.0,4.0,0,1,Manager,12.892311015122338,0,Single,No Car,0_child,50s
55,33,Company Invited,2,960.0,Salaried,female,1.0,3.0,Deluxe,3.0,5.0,0,2,Manager,12.604365427221907,0,Married,Has Car,0_child,30s
56,32,Company Invited,1,540.0,Small Business,male,1.0,3.0,Basic,3.0,4.0,0,1,Executive,12.505791978592455,0,Single,Has Car,0_child,30s
57,50,Company Invited,2,960.0,Salaried,male,1.0,3.0,Standard,4.0,5.0,1,1,Senior Manager,12.96465872301773,1,Married,Has Car,0_child,50s
58,40,Company Invited,1,840.0,Salaried,female,1.0,3.0,Standard,3.0,2.0,1,1,Senior Manager,12.9434304726383,0,Single,Has Car,0_child,40s
59,26,Company Invited,2,1020.0,Large Business,male,1.0,3.0,Basic,3.0,2.0,1,2,Executive,12.486034997466737,1,Single,No Car,0_child,20s
60,47,Self Enquiry,2,900.0,Small Business,male,1.0,3.0,Standard,3.0,8.0,1,1,Senior Manager,12.937348597137708,0,Single,No Car,0_child,40s
61,47,Company Invited,2,600.0,Large Business,male,1.0,3.0,Basic,3.0,1.0,1,2,Executive,12.464258963752842,1,Divorced,Has Car,0_child,40s
62,52,Company Invited,2,960.0,Salaried,female,1.0,3.0,Deluxe,4.0,5.0,0,1,AVP,13.137982757305284,0,Single,Has Car,0_child,50s
63,29,Company Invited,2,780.0,Small Business,male,1.0,5.0,Deluxe,3.0,7.0,0,1,Manager,12.624654682684875,0,Divorced,No Car,0_child,20s
64,44,Self Enquiry,2,420.0,Small Business,male,1.0,5.0,Deluxe,3.0,1.0,0,2,Manager,12.64318498847234,0,Married,No Car,0_child,40s
65,54,Company Invited,1,720.0,Small Business,male,2.0,4.0,Standard,3.0,2.0,0,1,Senior Manager,12.899222326086994,0,Divorced,Has Car,0_child,50s
66,51,Company Invited,2,420.0,Salaried,male,2.0,4.0,Super Deluxe,3.0,3.0,0,2,AVP,13.080730637652293,0,Married,Has Car,0_child,50s
67,59,Company Invited,1,780.0,Salaried,male,2.0,4.0,Deluxe,3.0,4.0,0,1,AVP,13.04559247819008,0,Married,Has Car,0_child,50s
68,25,Company Invited,1,420.0,Small Business,male,2.0,4.0,Basic,3.0,8.0,0,2,Executive,12.508899455308407,0,Single,No Car,0_child,20s
69,29,Company Invited,1,900.0,Salaried,female,2.0,4.0,Basic,3.0,5.0,0,2,Executive,12.483196677510696,0,Divorced,No Car,0_child,20s
70,21,Self Enquiry,2,780.0,Small Business,female,2.0,4.0,Basic,3.0,3.0,0,2,Executive,12.66593439432829,1,Married,No Car,0_child,20s
71,56,Self Enquiry,1,600.0,Small Business,male,2.0,4.0,Deluxe,3.0,6.0,0,1,AVP,12.899222326086994,0,Married,Has Car,0_child,50s
72,50,Self Enquiry,3,360.0,Small Business,male,2.0,4.0,Standard,3.0,4.0,0,2,Senior Manager,12.790899378597398,0,Single,Has Car,0_child,50s
73,57,Company Invited,1,480.0,Small Business,female,2.0,4.0,Basic,3.0,2.0,0,2,Executive,12.479951135380311,0,Single,Has Car,0_child,50s
74,37,Company Invited,1,780.0,Large Business,male,2.0,4.0,Basic,4.0,7.0,0,2,Executive,12.520522006212012,1,Divorced,No Car,0_child,30s
75,20,Self Enquiry,1,780.0,Salaried,male,2.0,4.0,Basic,3.0,2.0,0,2,Executive,12.457982452093804,0,Divorced,No Car,0_child,20s
76,53,Company Invited,2,840.0,Small Business,male,2.0,4.0,Standard,4.0,5.0,0,2,Senior Manager,12.9904215778499,0,Single,Has Car,0_child,50s
77,30,Company Invited,1,480.0,Small Business,male,2.0,4.0,Basic,3.0,8.0,0,1,Executive,12.496803814758204,0,Divorced,Has Car,0_child,30s
78,35,Company Invited,3,720.0,Salaried,male,2.0,4.0,Standard,4.0,1.0,0,2,Senior Manager,12.99045580852127,0,Divorced,Has Car,0_child,30s
79,36,Company Invited,1,660.0,Small Business,male,2.0,4.0,Standard,3.0,2.0,0,2,Senior Manager,12.826167834653992,0,Divorced,Has Car,0_child,30s
80,36,Company Invited,3,1080.0,Small Business,female,2.0,5.0,Standard,3.0,1.0,0,1,Senior Manager,12.611541086966117,0,Divorced,No Car,0_child,30s
81,38,Self Enquiry,2,300.0,Salaried,male,2.0,4.0,Standard,3.0,5.0,0,2,Senior Manager,12.923914877701906,0,Divorced,No Car,0_child,30s
82,49,Self Enquiry,3,900.0,Small Business,female,2.0,4.0,Standard,4.0,2.0,0,1,Senior Manager,12.821260987319455,0,Married,Has Car,0_child,40s
83,37,Self Enquiry,1,1860.0,Large Business,male,2.0,4.0,Standard,3.0,2.0,0,1,Senior Manager,12.88335971684618,0,Single,No Car,0_child,30s
84,50,Self Enquiry,2,840.0,Small Business,female,2.0,4.0,Basic,3.0,5.0,1,2,Executive,12.482684923262866,1,Single,No Car,0_child,50s
85,51,Self Enquiry,2,600.0,Salaried,male,2.0,4.0,Standard,3.0,3.0,1,2,Senior Manager,12.812847335877953,0,Single,Has Car,0_child,50s
86,43,Self Enquiry,2,660.0,Small Business,male,2.0,4.0,Basic,3.0,5.0,1,2,Executive,12.478238714969924,1,Divorced,No Car,0_child,40s
