Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child
50,Self Enquiry,2,900.0,Large Business,male,1.0,4.0,Basic,3.0,5,1,4,Executive,253905.0,1,Single,No Car,0_child
56,Company Invited,1,840.0,Salaried,male,1.0,4.0,Standard,3.0,2,1,4,Senior Manager,404475.0,0,Divorced,Has Car,0_child
0,Self Enquiry,1,600.0,Large Business,female,1.0,3.0,Basic,3.0,4,0,4,Executive,278145.0,1,Married,No Car,0_child
37,Self Enquiry,2,1080.0,Small Business,female,1.0,3.0,Standard,4.0,1,0,5,Senior Manager,326805.0,0,Divorced,Has Car,0_child
48,Company Invited,3,1020.0,Small Business,female,1.0,3.0,Basic,4.0,4,0,4,Executive,258435.0,1,Single,Has Car,0_child
19,Self Enquiry,2,960.0,Small Business,male,1.0,3.0,Basic,3.0,2,0,4,Executive,260000.0,0,Single,No Car,0_child
47,Company Invited,3,840.0,Small Business,male,1.0,3.0,Deluxe,4.0,4,0,4,AVP,453180.0,0,Single,Has Car,0_child
49,Self Enquiry,2,1320.0,Small Business,male,1.0,3.0,Basic,3.0,8,0,4,Executive,261900.0,0,Married,No Car,0_child
33,Company Invited,2,1200.0,Large Business,female,1.0,3.0,Basic,3.0,4,0,4,Executive,247800.0,1,Single,No Car,0_child
31,Company Invited,1,660.0,Large Business,male,1.0,3.0,Basic,3.0,2,0,3,Senior Manager,257610.0,0,Married,Has Car,0_child
51,Company Invited,1,840.0,Small Business,female,1.0,3.0,Standard,3.0,4,0,3,Senior Manager,351900.0,0,Single,Has Car,0_child
46,Self Enquiry,1,960.0,Small Business,male,1.0,3.0,Deluxe,4.0,24,0,3,AVP,416430.0,0,Divorced,Has Car,0_child
49,Company Invited,1,1920.0,Small Business,female,1.0,3.0,Deluxe,3.0,4,0,3,AVP,477555.0,0,Single,Has Car,0_child
51,Self Enquiry,2,1020.0,Small Business,female,1.0,3.0,Deluxe,4.0,5,0,4,AVP,440000.0,0,Married,Has Car,0_child
53,Company Invited,2,840.0,Small Business,female,1.0,3.0,Basic,3.0,1,0,3,Executive,300000.0,1,Single,Has Car,0_child
20,Self Enquiry,1,1440.0,Small Business,female,1.0,3.0,Basic,3.0,8,0,4,Executive,253665.0,1,Single,Has Car,0_child
25,Company Invited,2,1380.0,Small Business,male,1.0,3.0,Basic,3.0,1,0,3,Executive,258600.0,1,Single,No Car,0_child
53,Self Enquiry,2,2100.0,Small Business,male,1.0,3.0,Deluxe,3.0,4,0,3,AVP,500000.0,1,Single,Has Car,0_child
20,Company Invited,2,420.0,Small Business,female,1.0,3.0,Standard,3.0,1,1,3,Senior Manager,400000.0,0,Married,No Car,0_child
44,Company Invited,2,300.0,Small Business,male,1.0,3.0,Deluxe,3.0,1,1,4,AVP,286245.0,0,Married,No Car,0_child
30,Self Enquiry,1,480.0,Salaried,male,1.0,3.0,Standard,3.0,2,0,3,Senior Manager,455250.0,0,Single,No Car,0_child
34,Company Invited,2,960.0,Salaried,female,1.0,3.0,Basic,3.0,2,0,4,Executive,263715.0,0,Divorced,Has Car,0_child
