id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child,AgeGroup,TypeofContactNULL,Motivation,EconomicPower,Child01,TripEasier,SalesPerformance,LivingCost,EconomicStability,NumberOfTrips_log,TravelCost,EconomicSegment,PackageMatch,IsFamily,FreaqencySeg,Monetary,MonetarySeg,ContractRate_FM,ContractRate_G1,ContractRate_G2,ContractRate_G3,ContractRate_G4,ContractRate_G5,ContractRate_G6,TypeofContact_CityTier,TypeofContact_Occupation,TypeofContact_Gender,TypeofContact_ProductPitched,TypeofContact_PreferredPropertyStar,TypeofContact_Passport,TypeofContact_PitchSatisfactionScore,TypeofContact_Designation,TypeofContact_Marry,TypeofContact_Car,TypeofContact_Child,CityTier_Occupation,CityTier_Gender,CityTier_ProductPitched,CityTier_PreferredPropertyStar,CityTier_Passport,CityTier_PitchSatisfactionScore,CityTier_Designation,CityTier_Marry,CityTier_Car,CityTier_Child,Occupation_Gender,Occupation_ProductPitched,Occupation_PreferredPropertyStar,Occupation_Passport,Occupation_PitchSatisfactionScore,Occupation_Designation,Occupation_Marry,Occupation_Car,Occupation_Child,Gender_ProductPitched,Gender_PreferredPropertyStar,Gender_Passport,Gender_PitchSatisfactionScore,Gender_Designation,Gender_Marry,Gender_Car,Gender_Child,ProductPitched_PreferredPropertyStar,ProductPitched_Passport,ProductPitched_PitchSatisfactionScore,ProductPitched_Designation,ProductPitched_Marry,ProductPitched_Car,ProductPitched_Child,PreferredPropertyStar_Passport,PreferredPropertyStar_PitchSatisfactionScore,PreferredPropertyStar_Designation,PreferredPropertyStar_Marry,PreferredPropertyStar_Car,PreferredPropertyStar_Child,Passport_PitchSatisfactionScore,Passport_Designation,Passport_Marry,Passport_Car,Passport_Child,PitchSatisfactionScore_Designation,PitchSatisfactionScore_Marry,PitchSatisfactionScore_Car,PitchSatisfactionScore_Child,Designation_Marry,Designation_Car,Designation_Child,Marry_Car,Marry_Child,Car_Child,AgeNull,DurationOfPitchNull,NumberOfTripsNull,MonthlyIncomeNull
0,50,Self Enquiry,2,6.803505257608338,Large Business,male,1,4,Basic,3,5,1,4,Executive,12.44471939876448,1,Single,No Car,0_child,50s,0,14,32.356270436787646,0,48,2.351728909462847,9.572861075972677,16.427029606369114,1.791759469228055,2.791759469228055,0,1.0,0,1,22.29794382462232,3,0.1423877327491785,0.2444444444444444,0.5,0.4545454545454545,0.1923076923076923,0.4545454545454545,0.1973684210526315,Self Enquiry_2,Self Enquiry_Large Business,Self Enquiry_male,Self Enquiry_Basic,Self Enquiry_3,Self Enquiry_1,Self Enquiry_4,Self Enquiry_Executive,Self Enquiry_Single,Self Enquiry_No Car,Self Enquiry_0_child,2_Large Business,2_male,2_Basic,2_3,2_1,2_4,2_Executive,2_Single,2_No Car,2_0_child,Large Business_male,Large Business_Basic,Large Business_3,Large Business_1,Large Business_4,Large Business_Executive,Large Business_Single,Large Business_No Car,Large Business_0_child,male_Basic,male_3,male_1,male_4,male_Executive,male_Single,male_No Car,male_0_child,Basic_3,Basic_1,Basic_4,Basic_Executive,Basic_Single,Basic_No Car,Basic_0_child,3_1,3_4,3_Executive,3_Single,3_No Car,3_0_child,1_4,1_Executive,1_Single,1_No Car,1_0_child,4_Executive,4_Single,4_No Car,4_0_child,Executive_Single,Executive_No Car,Executive_0_child,Single_No Car,Single_0_child,No Car_0_child,0,0,0,0
2,38,Self Enquiry,1,6.398594934535208,Large Business,female,1,3,Basic,3,4,0,4,Executive,12.535901434670214,1,Married,No Car,0_child,30s,0,3,37.60770430401064,0,24,1.875411730664848,7.59751602101225,16.547389893764684,1.6094379124341005,2.6094379124341005,2,1.0,1,0,20.17575503549527,3,0.1472081218274111,0.217391304347826,0.1778846153846154,0.2320328542094455,0.2700186219739292,0.2371134020618556,0.2747663551401869,Self Enquiry_1,Self Enquiry_Large Business,Self Enquiry_female,Self Enquiry_Basic,Self Enquiry_3,Self Enquiry_0,Self Enquiry_4,Self Enquiry_Executive,Self Enquiry_Married,Self Enquiry_No Car,Self Enquiry_0_child,1_Large Business,1_female,1_Basic,1_3,1_0,1_4,1_Executive,1_Married,1_No Car,1_0_child,Large Business_female,Large Business_Basic,Large Business_3,Large Business_0,Large Business_4,Large Business_Executive,Large Business_Married,Large Business_No Car,Large Business_0_child,female_Basic,female_3,female_0,female_4,female_Executive,female_Married,female_No Car,female_0_child,Basic_3,Basic_0,Basic_4,Basic_Executive,Basic_Married,Basic_No Car,Basic_0_child,3_0,3_4,3_Executive,3_Married,3_No Car,3_0_child,0_4,0_Executive,0_Married,0_No Car,0_0_child,4_Executive,4_Married,4_No Car,4_0_child,Executive_Married,Executive_No Car,Executive_0_child,Married_No Car,Married_0_child,No Car_0_child,1,0,0,0
4,48,Company Invited,3,6.928537818164665,Small Business,female,1,3,Basic,4,4,0,4,Executive,12.462403360072058,1,Single,Has Car,0_child,40s,0,3,12.462403360072058,0,48,1.7319671646360069,11.868955581021009,12.337779326471338,1.6094379124341005,3.914156868651151,4,0.8,0,0,20.05746444774609,3,0.1472081218274111,0.0847457627118644,0.0566037735849056,0.1851851851851851,0.2290502793296089,0.1867469879518072,0.2320441988950276,Company Invited_3,Company Invited_Small Business,Company Invited_female,Company Invited_Basic,Company Invited_4,Company Invited_0,Company Invited_4,Company Invited_Executive,Company Invited_Single,Company Invited_Has Car,Company Invited_0_child,3_Small Business,3_female,3_Basic,3_4,3_0,3_4,3_Executive,3_Single,3_Has Car,3_0_child,Small Business_female,Small Business_Basic,Small Business_4,Small Business_0,Small Business_4,Small Business_Executive,Small Business_Single,Small Business_Has Car,Small Business_0_child,female_Basic,female_4,female_0,female_4,female_Executive,female_Single,female_Has Car,female_0_child,Basic_4,Basic_0,Basic_4,Basic_Executive,Basic_Single,Basic_Has Car,Basic_0_child,4_0,4_4,4_Executive,4_Single,4_Has Car,4_0_child,0_4,0_Executive,0_Single,0_Has Car,0_0_child,4_Executive,4_Single,4_Has Car,4_0_child,Executive_Single,Executive_Has Car,Executive_0_child,Single_Has Car,Single_0_child,Has Car_0_child,0,0,0,0
8,33,Company Invited,2,7.090909822079984,Large Business,female,1,3,Basic,3,4,0,4,Executive,12.420381283681548,1,Single,No Car,0_child,30s,0,3,24.840762567363097,0,48,1.692307517807359,9.554139448985806,16.394903294459645,1.6094379124341005,2.6094379124341005,0,1.0,0,0,19.989832524844,2,0.1355247981545559,0.217391304347826,0.1778846153846154,0.2320328542094455,0.2700186219739292,0.2371134020618556,0.2747663551401869,Company Invited_2,Company Invited_Large Business,Company Invited_female,Company Invited_Basic,Company Invited_3,Company Invited_0,Company Invited_4,Company Invited_Executive,Company Invited_Single,Company Invited_No Car,Company Invited_0_child,2_Large Business,2_female,2_Basic,2_3,2_0,2_4,2_Executive,2_Single,2_No Car,2_0_child,Large Business_female,Large Business_Basic,Large Business_3,Large Business_0,Large Business_4,Large Business_Executive,Large Business_Single,Large Business_No Car,Large Business_0_child,female_Basic,female_3,female_0,female_4,female_Executive,female_Single,female_No Car,female_0_child,Basic_3,Basic_0,Basic_4,Basic_Executive,Basic_Single,Basic_No Car,Basic_0_child,3_0,3_4,3_Executive,3_Single,3_No Car,3_0_child,0_4,0_Executive,0_Single,0_No Car,0_0_child,4_Executive,4_Single,4_No Car,4_0_child,Executive_Single,Executive_No Car,Executive_0_child,Single_No Car,Single_0_child,No Car_0_child,0,0,0,0
14,53,Company Invited,2,6.734591659972948,Small Business,female,1,3,Basic,3,1,0,3,Executive,12.611541086966117,1,Single,Has Car,0_child,50s,0,3,25.22308217393224,0,48,1.3363839196801657,9.239224239535616,12.485425676096456,0.6931471805599453,1.6931471805599454,5,1.0,0,0,8.741654146946471,1,0.180327868852459,0.1212121212121212,0.1,0.1492537313432835,0.1923076923076923,0.1538461538461538,0.1973684210526315,Company Invited_2,Company Invited_Small Business,Company Invited_female,Company Invited_Basic,Company Invited_3,Company Invited_0,Company Invited_3,Company Invited_Executive,Company Invited_Single,Company Invited_Has Car,Company Invited_0_child,2_Small Business,2_female,2_Basic,2_3,2_0,2_3,2_Executive,2_Single,2_Has Car,2_0_child,Small Business_female,Small Business_Basic,Small Business_3,Small Business_0,Small Business_3,Small Business_Executive,Small Business_Single,Small Business_Has Car,Small Business_0_child,female_Basic,female_3,female_0,female_3,female_Executive,female_Single,female_Has Car,female_0_child,Basic_3,Basic_0,Basic_3,Basic_Executive,Basic_Single,Basic_Has Car,Basic_0_child,3_0,3_3,3_Executive,3_Single,3_Has Car,3_0_child,0_3,0_Executive,0_Single,0_Has Car,0_0_child,3_Executive,3_Single,3_Has Car,3_0_child,Executive_Single,Executive_Has Car,Executive_0_child,Single_Has Car,Single_0_child,Has Car_0_child,0,0,0,0
15,20,Self Enquiry,1,7.273092595999522,Small Business,female,1,3,Basic,3,8,0,4,Executive,12.443773720051366,1,Single,Has Car,0_child,20s,0,3,37.3313211601541,0,48,1.64991712144576,7.900808711143724,12.319335982850854,2.19722457733622,3.19722457733622,11,1.0,0,1,27.34176545250742,3,0.1423877327491785,0.3059701492537313,0.2786885245901639,0.3741721854304636,0.4080459770114942,0.3817567567567567,0.4139941690962099,Self Enquiry_1,Self Enquiry_Small Business,Self Enquiry_female,Self Enquiry_Basic,Self Enquiry_3,Self Enquiry_0,Self Enquiry_4,Self Enquiry_Executive,Self Enquiry_Single,Self Enquiry_Has Car,Self Enquiry_0_child,1_Small Business,1_female,1_Basic,1_3,1_0,1_4,1_Executive,1_Single,1_Has Car,1_0_child,Small Business_female,Small Business_Basic,Small Business_3,Small Business_0,Small Business_4,Small Business_Executive,Small Business_Single,Small Business_Has Car,Small Business_0_child,female_Basic,female_3,female_0,female_4,female_Executive,female_Single,female_Has Car,female_0_child,Basic_3,Basic_0,Basic_4,Basic_Executive,Basic_Single,Basic_Has Car,Basic_0_child,3_0,3_4,3_Executive,3_Single,3_Has Car,3_0_child,0_4,0_Executive,0_Single,0_Has Car,0_0_child,4_Executive,4_Single,4_Has Car,4_0_child,Executive_Single,Executive_Has Car,Executive_0_child,Single_Has Car,Single_0_child,Has Car_0_child,0,0,0,0
16,25,Company Invited,2,7.2305631534092925,Small Business,male,1,3,Basic,3,1,0,3,Executive,12.463041612288444,1,Single,No Car,0_child,20s,0,3,32.40390819194996,0,48,1.24471632555431,9.586955086375726,12.33841119616556,0.6931471805599453,1.6931471805599454,5,1.0,0,0,8.63872215475901,1,0.180327868852459,0.4719626168224299,0.4388888888888889,0.3741721854304636,0.4080459770114942,0.3817567567567567,0.4139941690962099,Company Invited_2,Company Invited_Small Business,Company Invited_male,Company Invited_Basic,Company Invited_3,Company Invited_0,Company Invited_3,Company Invited_Executive,Company Invited_Single,Company Invited_No Car,Company Invited_0_child,2_Small Business,2_male,2_Basic,2_3,2_0,2_3,2_Executive,2_Single,2_No Car,2_0_child,Small Business_male,Small Business_Basic,Small Business_3,Small Business_0,Small Business_3,Small Business_Executive,Small Business_Single,Small Business_No Car,Small Business_0_child,male_Basic,male_3,male_0,male_3,male_Executive,male_Single,male_No Car,male_0_child,Basic_3,Basic_0,Basic_3,Basic_Executive,Basic_Single,Basic_No Car,Basic_0_child,3_0,3_3,3_Executive,3_Single,3_No Car,3_0_child,0_3,0_Executive,0_Single,0_No Car,0_0_child,3_Executive,3_Single,3_No Car,3_0_child,Executive_Single,Executive_No Car,Executive_0_child,Single_No Car,Single_0_child,No Car_0_child,0,0,0,0
17,53,Self Enquiry,2,7.650168700845001,Small Business,male,1,3,Deluxe,3,4,0,3,AVP,13.122365377402328,1,Single,Has Car,0_child,50s,0,3,34.118149981246056,0,16,1.1764446448097157,9.613454488939434,16.534180375526933,1.6094379124341005,2.6094379124341005,10,0.8,0,0,21.11963233920392,3,0.1472081218274111,0.0569620253164556,0.0425531914893617,0.0421940928270042,0.056390977443609,0.0652173913043478,0.0833333333333333,Self Enquiry_2,Self Enquiry_Small Business,Self Enquiry_male,Self Enquiry_Deluxe,Self Enquiry_3,Self Enquiry_0,Self Enquiry_3,Self Enquiry_AVP,Self Enquiry_Single,Self Enquiry_Has Car,Self Enquiry_0_child,2_Small Business,2_male,2_Deluxe,2_3,2_0,2_3,2_AVP,2_Single,2_Has Car,2_0_child,Small Business_male,Small Business_Deluxe,Small Business_3,Small Business_0,Small Business_3,Small Business_AVP,Small Business_Single,Small Business_Has Car,Small Business_0_child,male_Deluxe,male_3,male_0,male_3,male_AVP,male_Single,male_Has Car,male_0_child,Deluxe_3,Deluxe_0,Deluxe_3,Deluxe_AVP,Deluxe_Single,Deluxe_Has Car,Deluxe_0_child,3_0,3_3,3_AVP,3_Single,3_Has Car,3_0_child,0_3,0_AVP,0_Single,0_Has Car,0_0_child,3_AVP,3_Single,3_Has Car,3_0_child,AVP_Single,AVP_Has Car,AVP_0_child,Single_Has Car,Single_0_child,Has Car_0_child,0,0,0,0
22,29,Company Invited,1,6.175867270105761,Salaried,female,1,3,Basic,3,1,0,3,Executive,12.478866942987851,1,Divorced,No Car,0_child,20s,0,3,37.43660082896356,0,24,1.457285204875505,8.319244628658568,15.099429001015302,0.6931471805599453,1.6931471805599454,13,1.0,0,0,8.649691438114733,1,0.180327868852459,0.3059701492537313,0.2786885245901639,0.3741721854304636,0.4080459770114942,0.3817567567567567,0.4139941690962099,Company Invited_1,Company Invited_Salaried,Company Invited_female,Company Invited_Basic,Company Invited_3,Company Invited_0,Company Invited_3,Company Invited_Executive,Company Invited_Divorced,Company Invited_No Car,Company Invited_0_child,1_Salaried,1_female,1_Basic,1_3,1_0,1_3,1_Executive,1_Divorced,1_No Car,1_0_child,Salaried_female,Salaried_Basic,Salaried_3,Salaried_0,Salaried_3,Salaried_Executive,Salaried_Divorced,Salaried_No Car,Salaried_0_child,female_Basic,female_3,female_0,female_3,female_Executive,female_Divorced,female_No Car,female_0_child,Basic_3,Basic_0,Basic_3,Basic_Executive,Basic_Divorced,Basic_No Car,Basic_0_child,3_0,3_3,3_Executive,3_Divorced,3_No Car,3_0_child,0_3,0_Executive,0_Divorced,0_No Car,0_0_child,3_Executive,3_Divorced,3_No Car,3_0_child,Executive_Divorced,Executive_No Car,Executive_0_child,Divorced_No Car,Divorced_0_child,No Car_0_child,0,0,0,0
29,22,Self Enquiry,2,6.398594934535208,Salaried,male,1,3,Basic,3,1,0,4,Executive,12.46414308934512,1,Single,No Car,0_child,20s,0,3,32.40677203229731,0,48,1.875411730664848,9.587802376419322,15.081613138107596,0.6931471805599453,1.6931471805599454,12,1.0,0,0,8.639485640475296,1,0.180327868852459,0.4719626168224299,0.4388888888888889,0.3741721854304636,0.4080459770114942,0.3817567567567567,0.4139941690962099,Self Enquiry_2,Self Enquiry_Salaried,Self Enquiry_male,Self Enquiry_Basic,Self Enquiry_3,Self Enquiry_0,Self Enquiry_4,Self Enquiry_Executive,Self Enquiry_Single,Self Enquiry_No Car,Self Enquiry_0_child,2_Salaried,2_male,2_Basic,2_3,2_0,2_4,2_Executive,2_Single,2_No Car,2_0_child,Salaried_male,Salaried_Basic,Salaried_3,Salaried_0,Salaried_4,Salaried_Executive,Salaried_Single,Salaried_No Car,Salaried_0_child,male_Basic,male_3,male_0,male_4,male_Executive,male_Single,male_No Car,male_0_child,Basic_3,Basic_0,Basic_4,Basic_Executive,Basic_Single,Basic_No Car,Basic_0_child,3_0,3_4,3_Executive,3_Single,3_No Car,3_0_child,0_4,0_Executive,0_Single,0_No Car,0_0_child,4_Executive,4_Single,4_No Car,4_0_child,Executive_Single,Executive_No Car,Executive_0_child,Single_No Car,Single_0_child,No Car_0_child,0,0,0,0
