TypeofContact,CityTier,Occupation,NumberOfPersonVisiting,PreferredPropertyStar,Passport,PitchSatisfactionScore,ProdTaken,age,duration,gender,follow,product_pitched,trip_per_year,designation,income,info_1,info_2,info_3
Self Enquiry,2,Large Business,1,3,1,4,1,50,900.0,male,4,Basic,5,Executive,253905.0,Single,No Car,0
Company Invited,1,Salaried,1,3,1,4,0,56,840.0,male,4,Standard,2,Senior Manager,404475.0,Divorced,Has Car,0
Self Enquiry,1,Large Business,1,3,0,4,1,38,600.0,female,3,Basic,4,Executive,278145.0,Married,No Car,0
Self Enquiry,2,Small Business,1,4,0,5,0,37,1080.0,female,3,Standard,1,Senior Manager,326805.0,Divorced,Has Car,0
Company Invited,3,Small Business,1,4,0,4,1,48,1020.0,female,3,Basic,4,Executive,258435.0,Single,Has Car,0
Self Enquiry,2,Small Business,1,3,0,4,0,19,960.0,male,3,Basic,2,Executive,260000.0,Single,No Car,0
Company Invited,3,Small Business,1,4,0,4,0,47,840.0,male,3,Deluxe,4,AVP,453180.0,Single,Has Car,0
Self Enquiry,2,Small Business,1,3,0,4,0,49,1320.0,male,3,Basic,8,Executive,261900.0,Married,No Car,0
Company Invited,2,Large Business,1,3,0,4,1,33,1200.0,female,3,Basic,4,Executive,247800.0,Single,No Car,0
Company Invited,1,Large Business,1,3,0,3,0,31,660.0,male,3,Basic,2,Senior Manager,257610.0,Married,Has Car,0
Company Invited,1,Small Business,1,3,0,3,0,51,840.0,female,3,Standard,4,Senior Manager,351900.0,Single,Has Car,0
Self Enquiry,1,Small Business,1,4,0,3,0,46,960.0,male,3,Deluxe,24,AVP,416430.0,Divorced,Has Car,0
Company Invited,1,Small Business,1,3,0,3,0,49,1920.0,female,3,Deluxe,4,AVP,477555.0,Single,Has Car,0
Self Enquiry,2,Small Business,1,4,0,4,0,51,1020.0,female,3,Deluxe,5,AVP,440000.0,Married,Has Car,0
Company Invited,2,Small Business,1,3,0,3,1,53,840.0,female,3,Basic,1,Executive,300000.0,Single,Has Car,0
Self Enquiry,1,Small Business,1,3,0,4,1,20,1440.0,female,3,Basic,8,Executive,253665.0,Single,Has Car,0
Company Invited,2,Small Business,1,3,0,3,1,25,1380.0,male,3,Basic,1,Executive,258600.0,Single,No Car,0
Self Enquiry,2,Small Business,1,3,0,3,1,53,2100.0,male,3,Deluxe,4,AVP,500000.0,Single,Has Car,0
Company Invited,2,Small Business,1,3,1,3,0,20,420.0,female,3,Standard,1,Senior Manager,400000.0,Married,No Car,0
Company Invited,2,Small Business,1,3,1,4,0,44,300.0,male,3,Deluxe,1,AVP,286245.0,Married,No Car,0
Self Enquiry,1,Salaried,1,3,0,3,0,30,480.0,male,3,Standard,2,Senior Manager,455250.0,Single,No Car,0
Company Invited,2,Salaried,1,3,0,4,0,34,960.0,female,3,Basic,2,Executive,263715.0,Divorced,Has Car,0
Company Invited,1,Salaried,1,3,0,3,1,29,480.0,female,3,Basic,1,Executive,262725.0,Divorced,No Car,0
Company Invited,2,Salaried,1,3,0,3,0,56,900.0,male,3,Deluxe,1,AVP,431265.0,Married,Has Car,0
Self Enquiry,2,Salaried,1,3,0,4,0,30,960.0,male,3,Basic,2,Executive,250275.0,Divorced,Has Car,0
Company Invited,2,Salaried,1,3,0,4,0,41,780.0,male,3,Deluxe,1,Manager,303345.0,Married,No Car,0
Self Enquiry,1,Salaried,1,3,0,4,0,38,780.0,female,3,Deluxe,1,Manager,256845.0,Single,Has Car,0
Company Invited,1,Salaried,1,3,0,3,0,50,840.0,male,3,Standard,2,Senior Manager,368940.0,Single,Has Car,0
Self Enquiry,1,Salaried,1,3,0,3,0,52,1020.0,male,3,Deluxe,4,AVP,456405.0,Married,Has Car,0
Self Enquiry,2,Salaried,1,3,0,4,1,22,600.0,male,3,Basic,1,Executive,258885.0,Single,No Car,0
Company Invited,2,Salaried,1,3,1,3,0,36,900.0,female,3,Deluxe,1,Manager,316680.0,Married,No Car,0
Self Enquiry,3,Salaried,1,3,1,5,0,52,1920.0,female,3,Deluxe,2,AVP,500000.0,Divorced,Has Car,0
Company Invited,3,Salaried,1,3,1,4,0,46,480.0,male,3,Standard,5,Senior Manager,359730.0,Single,Has Car,0
Company Invited,2,Salaried,1,3,1,3,0,30,900.0,female,3,Standard,2,Senior Manager,410000.0,Married,No Car,0
Self Enquiry,1,Salaried,1,3,1,3,0,28,540.0,female,3,Basic,5,Executive,270000.0,Single,No Car,0
