,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken,age,duration
0,Self Enquiry,2,Large Business,male,1.0,4.0,Basic,3.0,5,1,4,Executive,253905.0,未婚 車未所持 子供なし,1,50,900.0
1,Company Invited,1,Salaried,Male,1.0,4.0,Standard,3.0,2,1,4,Senior Manager,404475.0,"離婚済み,車あり,子供無し",0,56,840.0
2,Self Enquiry,1,Large Business,Female,1.0,3.0,Basic,3.0,4,0,4,Executive,278145.0,"結婚済み、自動車未所有,子供なし",1,38,600.0
3,Self Enquiry,2,Small Business,female,1.0,3.0,Standard,4.0,1,0,5,Senior Manager,326805.0,離婚済み、車所持、子供無し,0,37,1080.0
4,Company Invited,3,Small Business,female,1.0,3.0,Basic,4.0,4,0,4,Executive,258435.0,独身／車所持／無子,1,48,1020.0
5,Self Enquiry,2,Small Business,Male,1.0,3.0,Basic,3.0,2,0,4,Executive,月収26.0万円,独身、車未所持、子供ゼロ,0,19,960.0
6,Company Invited,3,Small Business,Male,1.0,3.0,Super Deluxe,4.0,年に1回,0,4,AVP,453180.0,独身 自家用車あり 子供なし,0,47,840.0
7,Self Enquiry,2,Small Business,Male,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,261900.0,結婚済み、車未所持、子供なし,0,49,1320.0
8,Company Invited,2,Large Business,female,1.0,3.0,basic,3.0,4,0,4,Executive,247800.0,独身/車未所持/子供無し,1,33,1200.0
9,Company Invited,1,Large Business,male,1.0,3.0,Basic,3.0,2,0,3,Senior Manager,257610.0,結婚済み、車所持、非育児家庭,0,31,660.0
10,Company Invited,1,Small Business,Female,1.0,3.0,Standard,3.0,4,0,3,Senior Manager,351900.0,"未婚,車保有、子供なし",0,51,840.0
11,Self Enquiry,1,Small Business,Male,1.0,3.0,Super Deluxe,4.0,年に6回,0,3,AVP,416430.0,離婚済み/車あり/子供なし,0,46,960.0
12,Company Invited,1,Small Business,ｆｅｍａｌｅ,1.0,3.0,SUPER DELUXE,3.0,4,0,3,AVP,477555.0,独身 車所持 子供なし,0,49,1920.0
13,Self Enquiry,2,Small Business,FEMALE,1.0,3.0,Super Deluxe,4.0,5,0,4,AVP,月収44.0万円,結婚済み、車所持、非育児家庭,0,51,1020.0
14,Company Invited,2,Small Business,FEMALE,1.0,3.0,Basic,3.0,1,0,3,Executive,月収30.0万円,独身／車所持／無子,1,53,840.0
15,Self Enquiry,1,Small Business,female,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,253665.0,独身 車所持 子供なし,1,20,1440.0
16,Company Invited,2,Small Business,male,1.0,3.0,Basic,3.0,1,0,3,Executive,258600.0,独身　車未所持　子供なし,1,25,1380.0
