id,Age_int,TypeofContact_int,CityTier,Duration_int,Occupation_int,Gender_int,NumberOfPersonVisiting,NumberOfFollowups_normalized,ProductPitched_int,PreferredPropertyStar,NumberOfTrips_int,Passport,PitchSatisfactionScore,Designation_int,MonthlyIncome_int,customer_info_kekkon_int,customer_info_car_int,customer_info_child_int,ProdTaken
0,50,0,2,900,2,0,1.0,4.0,0,3.0,5,1,4,0,253905.0,0,0,0,1
1,56,1,1,840,0,0,1.0,4.0,1,3.0,2,1,4,2,404475.0,2,1,0,0
3,37,0,2,1080,1,1,1.0,3.0,1,4.0,1,0,5,2,326805.0,2,1,0,0
4,48,1,3,1020,1,1,1.0,3.0,0,4.0,4,0,4,0,258435.0,0,1,0,1
5,19,0,2,960,1,0,1.0,3.0,0,3.0,2,0,4,0,260000.0,0,0,0,0
6,47,1,3,840,1,0,1.0,3.0,3,4.0,1,0,4,3,453180.0,0,1,0,0
7,49,0,2,1320,1,0,1.0,3.0,0,3.0,2,0,4,0,261900.0,1,0,0,0
8,33,1,2,1200,2,1,1.0,3.0,0,3.0,4,0,4,0,247800.0,0,0,0,1
9,31,1,1,660,2,0,1.0,3.0,0,3.0,2,0,3,2,257610.0,1,1,0,0
10,51,1,1,840,1,1,1.0,3.0,1,3.0,4,0,3,2,351900.0,0,1,0,0
11,46,0,1,960,1,0,1.0,3.0,3,4.0,6,0,3,3,416430.0,2,1,0,0
12,49,1,1,1920,1,1,1.0,3.0,3,3.0,4,0,3,3,477555.0,0,1,0,0
13,51,0,2,1020,1,1,1.0,3.0,3,4.0,5,0,4,3,440000.0,1,1,0,0
14,53,1,2,840,1,1,1.0,3.0,0,3.0,1,0,3,0,300000.0,0,1,0,1
15,20,0,1,1440,1,1,1.0,3.0,0,3.0,2,0,4,0,253665.0,0,1,0,1
16,25,1,2,1380,1,0,1.0,3.0,0,3.0,1,0,3,0,258600.0,0,0,0,1
17,53,0,2,2100,1,0,1.0,3.0,3,3.0,4,0,3,3,500000.0,0,1,0,1
18,25,1,2,420,1,1,1.0,3.0,1,3.0,1,1,3,2,400000.0,1,0,0,0
19,44,1,2,300,1,0,1.0,3.0,3,3.0,1,1,4,3,286245.0,1,0,0,0
20,30,0,1,480,0,1,1.0,3.0,1,3.0,2,0,3,2,455250.0,0,0,0,0
21,34,1,2,960,0,1,1.0,3.0,0,3.0,2,0,4,0,263715.0,2,1,0,0
22,29,1,1,480,0,1,1.0,3.0,0,3.0,1,0,3,0,262725.0,2,0,0,1
23,56,1,2,900,0,0,1.0,3.0,3,3.0,1,0,3,3,431265.0,1,1,0,0
24,35,0,2,960,0,0,1.0,3.0,0,3.0,2,0,4,0,250275.0,2,1,0,0
27,55,1,1,840,0,1,1.0,3.0,1,3.0,2,0,3,2,368940.0,0,1,0,0
28,52,0,1,1020,0,1,1.0,3.0,3,3.0,4,0,3,3,456405.0,1,1,0,0
29,22,0,2,600,0,0,1.0,3.0,0,3.0,1,0,4,0,258885.0,0,0,0,1
30,36,1,2,900,0,1,1.0,3.0,2,3.0,1,1,3,1,316680.0,1,0,0,0
31,52,0,3,1920,0,1,1.0,3.0,3,3.0,2,1,5,3,500000.0,2,1,0,0
32,46,1,3,480,0,0,1.0,3.0,1,3.0,5,1,4,2,359730.0,0,1,0,0
33,30,1,2,900,0,1,1.0,3.0,1,3.0,2,1,3,2,410000.0,1,0,0,0
34,28,0,1,540,0,1,1.0,3.0,0,3.0,5,1,3,0,270000.0,0,0,0,0
35,25,0,2,840,0,0,1.0,3.0,0,3.0,2,1,4,0,255405.0,0,1,0,1
36,51,1,1,1560,1,1,1.0,4.0,3,3.0,1,0,2,3,485055.0,0,1,0,0
37,50,0,3,780,0,1,1.0,4.0,1,4.0,5,0,1,2,370000.0,0,0,0,0
38,48,1,1,720,0,1,1.0,4.0,1,3.0,2,0,1,2,401775.0,0,1,0,0
39,55,1,1,480,1,1,1.0,5.0,1,3.0,4,0,3,2,477000.0,1,1,0,0
40,38,1,2,840,0,0,1.0,3.0,1,3.0,1,0,2,2,378210.0,1,0,0,1
41,33,0,2,840,2,1,1.0,3.0,0,3.0,2,0,2,0,248490.0,0,1,0,1
42,42,1,2,600,0,0,1.0,3.0,2,3.0,2,0,2,1,268440.0,1,0,0,0
43,10,1,2,1260,0,0,1.0,3.0,1,3.0,1,0,2,2,362580.0,0,0,0,0
45,35,1,1,780,2,1,1.0,3.0,1,4.0,1,0,1,2,356760.0,1,1,0,0
46,59,1,2,480,1,0,1.0,3.0,1,3.0,1,0,2,2,364980.0,1,0,0,0
