,id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,AgeInt
0,3489,４８歳,Self Enquiry,2,13分,Small Business,Male,1.0,4.0,Super De|uxe,3.0,7,0,3,AVP,496950.0,結婚済み 車所持 子供なし,48.0
1,3490,30代,Self Enquiry,2,12分,Small Business,Ｆｅｍａｌｅ,1.0,4.0,Standard,3.0,4,1,3,Senior Manager,月収30.0万円,結婚済み、車未所持、子供なし,35.0
2,3491,25歳,Self Enquiry,1,540秒,Salaried,Female,1.0,4.0,Basic,3.0,1,0,3,Executive,月収26.0万円,離婚済み、自動車未所有、子供なし,25.0
3,3492,21歳,Company Invited,2,420秒,Salaried,Male,1.0,4.0,Basic,4.0,1,0,3,Senior Manager,259875.0,離婚済み、自動車所有、子供なし,21.0
4,3493,41歳,Company Invited,1,7分,Salaried,MALE,1.0,4.0,Basic,3.0,1,0,4,Executive,268830.0,独身/車所持／子供なし,41.0
5,3494,45歳,Company Invited,1,,Small Business,Female,1.0,3.0,Deluxe,3.0,年に6回,0,4,Manager,,結婚済み	自動車未所有	子供なし,45.0
6,3495,44才,Self Enquiry,2,8分,Small Business,male,1.0,3.0,Basic,3.0,5,0,4,Executive,259755.0,結婚済み、車未所持、子供なし,44.0
7,3496,45歳,Company Invited,2,16分,Small Business,ｍａｌｅ,1.0,3.0,Super Deluxe,3.0,3,0,4,AVP,月収40.0万円,"離婚済み,車所持,子供なし",45.0
8,3497,30際,Company Invited,1,540秒,Small Business,Male,1.0,3.0,Basic,3.0,1,0,4,Executive,月収25.0万円,離婚済み、自動車所有、子供無し,30.0
9,3498,31際,Self Enquiry,1,22分,Small Business,Ｍａｌｅ,1.0,4.0,Basic,3.0,4,0,3,Executive,263415.0,独身 自動車未所有 子供なし,31.0
10,3499,47歳,Self Enquiry,1,24分,Large Business,Male,1.0,3.0,Basic,3.0,4,0,5,Executive,257640.0,"離婚済み,自動車所有,子供なし",47.0
11,3500,43歳,Company Invited,3,17分,Small Business,Male,1.0,3.0,Basic,3.0,2,0,4,Executive,月収30.0万円,結婚済み、乗用車所持、子供なし,43.0
12,3501,50代,Company Invited,1,11分,Small Business,Female,1.0,3.0,Super Deluxe,3.0,1,0,4,AVP,433905.0,結婚済み 車あり 子供無し,55.0
13,3502,三十二歳,Company Invited,1,23分,Small Business,Male,1.0,3.0,Deluxe,3.0,2,0,4,Manager,297780.0,離婚済み、車なし、子供無し,32.0
14,3503,３１歳,Company Invited,1,16分,Small Business,male,1.0,3.0,DELUXE,3.0,2,0,4,Manager,258900.0,離婚済み、自動車所有、子供なし,31.0
15,3504,20歳,Company Invited,1,16分,Small Business,Female,1.0,3.0,Basic,3.0,2,0,3,Executive,253005.0,結婚済み 自家用車あり　子供なし,20.0
16,3505,28歳,Self Enquiry,2,10分,Small Business,Ｆｅｍａｌｅ,1.0,3.0,Deluxe,3.0,年に4回,0,4,Manager,月収30.0万円,未婚、自動車未所有、子供なし,28.0
17,3506,56才,Self Enquiry,2,10分,Small Business,Male,1.0,3.0,King,4.0,年に6回,0,5,VP,468705.0,結婚済み、自家用車あり、子供なし,56.0
18,3507,39歳,Company Invited,3,15分,Small Business,Female,1.0,4.0,standard,3.0,5,0,3,Senior Manager,442155.0,離婚済み、自家用車あり、子供無し,39.0
19,3508,38才,Company Invited,1,10分,Small Business,Female,1.0,3.0,Basic,3.0,年に1回,0,4,Executive,263940.0,離婚済み、車所持、子供無し,38.0
20,3509,36歳,Company Invited,1,960秒,Large Business,Male,1.0,3.0,basic,4.0,年に1回,0,3,Executive,月収30.0万円,独身	自家用車なし	子供無し,36.0
21,3510,39歳,Company Invited,2,9分,Large Business,Female,1.0,3.0,Basic,3.0,1,0,3,Executive,256410.0,独身、自動車未所有、子供なし,39.0
22,3511,,Company Invited,1,18分,Small Business,Male,1.0,3.0,Basic,4.0,2,0,4,Executive,259410.0,独身/車所持/無子,
23,3512,40代,Self Enquiry,2,900秒,Small Business,male,1.0,3.0,Super Deluxe,4.0,4,1,4,AVP,月収40.0万円,独身 車所持　子供なし,45.0
24,3513,３７歳,Company Invited,1,15分,Small Business,female,1.0,3.0,DELUXE,3.0,4,1,4,Manager,月収30.0万円,未婚　車未所持　子供無し,37.0
25,3514,38歳,Self Enquiry,3,540秒,Small Business,Female,1.0,300.0,Standard,3.0,1,1,3,Manager,362850.0,結婚済み 車あり　子供なし,38.0
26,3515,48歳,Company Invited,2,840秒,Small Business,Male,1.0,3.0,Standard,4.0,1,1,3,Senior Manager,262920.0,離婚済み、自動車所有、子供無し,48.0
27,3516,34歳,Self Enquiry,2,17分,Small Business,female,1.0,3.0,Standard,3.0,年に1回,1,3,Senior Manager,259005.0,離婚済み 車未所持 子供なし,34.0
28,3517,33歳,Company Invited,2,660秒,Small Business,female,1.0,3.0,basic,3.0,3,1,3,Executive,月収27.0万円,独身、車所持、非育児家庭,33.0
29,3518,46歳,Self Enquiry,3,18分,Salaried,Male,1.0,3.0,Super Deluxe,4.0,6,0,4,AVP,286725.0,結婚済み、自動車所有、子供なし,46.0
30,3519,33歳,Self Enquiry,2,16分,Salaried,Female,1.0,3.0,BASIC,4.0,年に2回,0,3,Executive,月収27.0万円,独身、乗用車なし、子供なし,33.0
31,3520,48歳,Company Invited,2,17分,Salaried,Female,1.0,3.0,Standard,4.0,5,0,3,Senior Manager,262245.0,結婚済み 車所持 非育児家庭,48.0
32,3521,42歳,Self Enquiry,2,19分,Salaried,Female,1.0,3.0,standard,3.0,3,0,3,Senior Manager,330075.0,離婚済み、車未所持、子供無し,42.0
33,3522,27歳,Self Enquiry,2,,Salaried,Male,1.0,3.0,Basic,3.0,1,0,4,Executive,250665.0,結婚済み 自家用車なし 子供なし,27.0
34,3523,29歳,Self Enquiry,2,8分,Salaried,ＦＥＭＡＬＥ,1.0,3.0,Basic,3.0,年に1回,0,4,Executive,255720.0,離婚済み、車所持、子供なし,29.0
35,3524,三十三歳,Company Invited,2,14分,Salaried,male,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,257325.0,結婚済み 車所持 子供無し,33.0
36,3525,59歳,Self Enquiry,1,8分,Salaried,Male,1.0,3.0,Standard,3.0,年に1回,0,4,Senior Manager,436260.0,結婚済み、自動車所有、非育児家庭,59.0
37,3526,３５歳,Company Invited,1,,Salaried,Ｆｅｍａｌｅ,1.0,3.0,DELUXE,3.0,1,0,4,Executive,242655.0,独身	自家用車あり	子供なし,35.0
38,3527,32歳,Company Invited,2,8分,Salaried,Female,1.0,3.0,Standard,3.0,3,1,4,Senior Manager,382560.0,結婚済み 自動車未所有　子供なし,32.0
39,3528,50代,Self Enquiry,1,10分,Salaried,MALE,2.0,3.0,King,4.0,6,0,5,VP,500835.0,独身 車所持 子供の数不明,55.0
40,3529,34歳,Company Invited,1,16分,Salaried,female,1.0,4.0,Basic,3.0,年に3回,0,2,Executive,月収30.0万円,独身／車所持／子供無し,34.0
41,3530,45歳,Company Invited,1,1020秒,Large Business,Male,1.0,4.0,Standard,4.0,2,0,1,Senior Manager,378645.0,未婚	車なし	子供無し,45.0
42,3531,４０代,Self Enquiry,1,9分,Small Business,Male,1.0,4.0,basıc,3.0,5,0,2,Executive,277635.0,独身 車保有なし　子供なし,45.0
43,3532,19歳,Company Invited,2,,Salaried,Male,1.0,4.0,Basic,3.0,7,0,2,Executive,306045.0,独身、車保有なし、子供ゼロ,19.0
44,3533,32才,Self Enquiry,3,15分,Small Business,Ｆｅ　Ｍａｌｅ,1.0,4.0,STANDARD,3.0,年に2回,0,1,Senior Manager,359115.0,"未婚,自家用車あり,子供なし",32.0
45,3534,三十一歳,Self Enquiry,1,15分,Salaried,Female,1.0,4.0,Standard,3.0,3,0,1,Senior Manager,413085.0,結婚済み 車保有 子供無し,31.0
46,3535,40代,Company Invited,2,15分,Small Business,Male,1.0,4.0,SUPER DELUXE,4.0,1,0,1,AVP,475755.0,離婚済み 乗用車所持 子供無し,45.0
47,3536,56歳,Company Invited,1,31分,Salaried,Female,1.0,5.0,Super Deluxe,3.0,5,0,5,AVP,417135.0,離婚済み/車未所持/子供無し,56.0
48,3537,24歳,Company Invited,2,840秒,Large Business,Male,1.0,4.0,Basic,4.0,1,1,2,Executive,269610.0,独身、自動車未所有、子供無し,24.0
49,3538,三十二歳,Company Invited,1,,Small Business,Male,1.0,3.0,Basic,3.0,2,0,2,Executivе,252495.0,独身 乗用車なし 子供無し,32.0
50,3539,55歳,Self Enquiry,1,1080秒,Small Business,Male,1.0,3.0,Super Deluxe,4.0,5,0,1,AVP,424680.0,独身、車保有、子供無し,55.0
51,3540,49歳,Company Invited,1,13分,Salaried,ＭＡＬＥ,1.0,3.0,Standard,4.0,1,0,1,Senior Manager,350745.0,結婚済み、車所持、子供なし,49.0
52,3541,51歳,Company Invited,2,12分,Salaried,Male,1.0,3.0,Standard,3.0,年に2回,0,1,Senior Manager,月収40.0万円,未婚	自家用車なし	子供なし,51.0
53,3542,40代,Self Enquiry,1,,Salaried,Female,1.0,3.0,Deluxe,3.0,3,0,1,Manager,304515.0,離婚済み 車未所持 子供ゼロ,45.0
54,3543,34際,Company Invited,2,900秒,Small Business,Female,1.0,3.0,STANDARD,3.0,年に5回,0,1,Senior Manager,314370.0,離婚済み 車あり 子供なし,34.0
55,3544,28歳,Company Invited,2,960秒,Small Business,Male,1.0,3.0,Basic,3.0,1,0,2,Executive,259965.0,独身 自動車未所有 子供なし,28.0
56,3545,55際,Company Invited,2,11分,Salaried,male,1.0,3.0,Ѕtandard,3.0,4,0,2,Senior Manager,311265.0,離婚済み、車未所持、子供無し,55.0
57,3546,50歳,Company Invited,2,8分,Small Business,Male,1.0,3.0,BASIC,3.0,2,0,2,Executive,260730.0,離婚済み 自動車未所有 無子,50.0
58,3547,56歳,Company Invited,1,13分,Salaried,Female,1.0,3.0,Standard,3.0,2,0,2,Senior Manager,450525.0,結婚済み 自動車所有 子供なし,56.0
59,3548,23歳,Self Enquiry,3,24分,Small Business,Female,1.0,3.0,DELUXE,3.0,3,0,1,Manager,362400.0,離婚済み 車あり 子供なし,23.0
60,3549,５２才,Company Invited,3,16分,Salaried,Male,1.0,3.0,Super Deluxe,4.0,3,0,2,Senior Manager,413565.0,離婚済み、車所持、子供ゼロ,52.0
