iter	RMSE
0	0.3450383041
1	0.3443517759
2	0.3436732234
3	0.343024463
4	0.3423625661
5	0.3416825318
6	0.3410940764
7	0.3404890533
8	0.3398013252
9	0.3391797032
10	0.3385488384
11	0.3379356211
12	0.3374513473
13	0.3368701848
14	0.3362823639
15	0.3357606126
16	0.3351725947
17	0.3346216282
18	0.3340583459
19	0.3334696404
20	0.3329964017
21	0.3324955713
22	0.3320159809
23	0.3314886491
24	0.3309485603
25	0.3304391573
26	0.32994067
27	0.3294779765
28	0.3290488754
29	0.3285509122
30	0.3280331726
31	0.3275994439
32	0.3271023011
33	0.326610337
34	0.3261752284
35	0.3257591837
36	0.3253360042
37	0.3249096675
38	0.324445581
39	0.3240013412
40	0.3235728575
41	0.3231683267
42	0.3227676818
43	0.322338307
44	0.3220181095
45	0.3216520416
46	0.321258875
47	0.3209145897
48	0.3205271236
49	0.3200961986
50	0.3197279028
51	0.3194194589
52	0.319057363
53	0.3187111322
54	0.3183071634
55	0.3180383655
56	0.3178992677
57	0.3175752128
58	0.317203441
59	0.3168713674
60	0.3164748936
61	0.3161298513
62	0.315813129
63	0.3154747629
64	0.3151284374
65	0.3148063668
66	0.3144801158
67	0.3141991718
68	0.313878959
69	0.3136226202
70	0.3133415287
71	0.313100821
72	0.3127996645
73	0.312480895
74	0.3121659727
75	0.3118480335
76	0.3115622066
77	0.3112788294
78	0.3109920134
79	0.3107562568
80	0.3105004079
81	0.310240953
82	0.310012226
83	0.3097402441
84	0.3094993898
85	0.3092986185
86	0.3090731595
87	0.3088124994
88	0.3085421555
89	0.3083279766
90	0.3080977216
91	0.3079119066
92	0.307616826
93	0.3073852764
94	0.3071756283
95	0.3069446779
96	0.3066840166
97	0.3064429255
98	0.3062053291
99	0.3060456718
100	0.3058420974
101	0.3055930899
102	0.3053455819
103	0.3051130608
104	0.304901712
105	0.3047402022
106	0.3044958808
107	0.304305922
108	0.3041160498
109	0.303936594
110	0.3037521549
111	0.3035489218
112	0.3033500665
113	0.3031583052
114	0.3029554038
115	0.3027659567
116	0.3025603302
117	0.3023270514
118	0.3021493441
119	0.3019382509
120	0.3017561681
121	0.3016105265
122	0.3014070366
123	0.3012538626
124	0.3010795317
125	0.3009237091
126	0.3008004542
127	0.3005953262
128	0.3004018065
129	0.3002047006
130	0.3000439987
131	0.2998871592
132	0.299717082
133	0.2995309759
134	0.2993681523
135	0.2992211232
136	0.2990679133
137	0.2988986666
138	0.2987228345
139	0.298561963
140	0.2984034051
141	0.2982547114
142	0.2981079872
143	0.2979610411
144	0.2977937193
145	0.2976361739
146	0.2974816627
147	0.2973490011
148	0.2971814361
149	0.2970468779
150	0.2969032035
151	0.2967518049
152	0.2965660038
153	0.2964207722
154	0.2962707134
155	0.2961324392
156	0.295984569
157	0.2958517828
158	0.2956942535
159	0.295562878
160	0.2954369642
161	0.2952431522
162	0.2951167727
163	0.294939592
164	0.2948025426
165	0.2946688864
166	0.2945454823
167	0.2944606653
168	0.2943791303
169	0.2942558823
170	0.2941458687
171	0.2940352817
172	0.2939361325
173	0.2938231876
174	0.2937012471
175	0.2935807924
176	0.2934677404
177	0.2933551621
178	0.2932196662
179	0.2930814997
180	0.292979086
181	0.2929022809
182	0.2927973402
183	0.2926896796
184	0.292548977
185	0.292421444
186	0.2923082815
187	0.292202969
188	0.2920736171
189	0.2919668008
190	0.2918430276
191	0.2917405407
192	0.2916273199
193	0.2914685371
194	0.2913707634
195	0.2912237394
196	0.2911269122
197	0.2910210948
198	0.2909607955
199	0.2908586945
200	0.2907229669
201	0.2906215651
202	0.2905086601
203	0.2903621403
204	0.2902292655
205	0.2901152971
206	0.2900249953
207	0.2899455308
208	0.2898305722
209	0.289696129
210	0.289601865
211	0.2894931503
212	0.2893791565
213	0.2892579956
214	0.2891574949
215	0.2890342019
216	0.2889266177
217	0.2888612629
218	0.2887500332
219	0.2886434115
220	0.2885206563
221	0.2884257791
222	0.2883370367
223	0.2881860799
224	0.2880884791
225	0.2879960197
226	0.2879003987
227	0.2877944023
228	0.2876984043
229	0.2875989731
230	0.2875163989
231	0.2873820302
232	0.2872459858
233	0.2871452822
234	0.2870454696
235	0.2869964927
236	0.2868641552
237	0.2867832785
238	0.2867099775
239	0.2865935321
240	0.2864948731
241	0.2863924784
242	0.286329313
243	0.2862389699
244	0.2861364552
245	0.2860384699
246	0.2859489462
247	0.2858770175
248	0.2857679884
249	0.285643045
250	0.2855582145
251	0.2854715838
252	0.2853832378
253	0.2852862698
254	0.2851989005
255	0.2851395126
256	0.2850684549
257	0.2849713434
258	0.2849103027
259	0.2848449278
260	0.2847553492
261	0.2846782118
262	0.2846256446
263	0.2845545487
264	0.2844751253
265	0.2843791995
266	0.2842775612
267	0.284214959
268	0.2841148433
269	0.284038399
270	0.2839582669
271	0.283890147
272	0.2837998535
273	0.2837371715
274	0.2836591851
275	0.2835636284
276	0.2834586675
277	0.283409548
278	0.2833219813
279	0.2832102402
280	0.2831182539
281	0.2830461997
282	0.2829676084
283	0.2828907923
284	0.2828161183
285	0.2827375015
286	0.2826584654
287	0.2825735886
288	0.2824798952
289	0.2824266759
290	0.2823195021
291	0.2822501794
292	0.2821611215
293	0.2820846622
294	0.2819924178
295	0.2819002596
296	0.2818314829
297	0.2817943637
298	0.2817043408
299	0.281629539
300	0.2815345423
301	0.281467078
302	0.281396405
303	0.2813116367
304	0.2812349827
305	0.2811845158
306	0.2811115618
307	0.2810149474
308	0.2809523505
309	0.28089979
310	0.2808423819
311	0.2807750011
312	0.2806908637
313	0.2806328676
314	0.2805722614
315	0.2805058578
316	0.2804199862
317	0.28035882
318	0.2803021764
319	0.2802394958
320	0.2801625037
321	0.2800670821
322	0.2799835323
323	0.2799201305
324	0.2798664209
325	0.2797874023
326	0.2797101882
327	0.2796459625
328	0.2795789005
329	0.279541306
330	0.279476766
331	0.2794015211
332	0.279356943
333	0.2793184404
334	0.2792703422
335	0.2792077227
336	0.2791136654
337	0.2790697375
338	0.2789760344
339	0.2789105813
340	0.2788502973
341	0.2788024411
342	0.2787516887
343	0.2786565798
344	0.2785872813
345	0.2785521091
346	0.2784734168
347	0.2784144019
348	0.278354947
349	0.2782891289
350	0.2782576805
351	0.2781989813
352	0.2781187474
353	0.2780306269
354	0.2779596243
355	0.2779173342
356	0.2778753001
357	0.2777820932
358	0.2776956696
359	0.277636956
360	0.2775726852
361	0.2775410502
362	0.2774921792
363	0.2774180931
364	0.2773524531
365	0.2772889217
366	0.277242554
367	0.2771873245
368	0.2771287624
369	0.2770627497
370	0.2770014397
371	0.2769696843
372	0.2768983298
373	0.2768465502
374	0.2767957116
375	0.276721703
376	0.2766789019
377	0.2766268083
378	0.2765327088
379	0.2764704853
380	0.2764017112
381	0.2763304504
382	0.2762436449
383	0.2761999759
384	0.2761553992
385	0.276083019
386	0.2760250097
387	0.2759455309
388	0.2759284818
389	0.2758383869
390	0.2757688505
391	0.2757163639
392	0.2756367173
393	0.2755629389
394	0.2754932836
395	0.2754633186
396	0.2754245233
397	0.2753568254
398	0.2752937646
399	0.2752161773
400	0.2751518353
401	0.2751094249
402	0.2750476842
403	0.2750034901
404	0.2749507175
405	0.274883509
406	0.2748313231
407	0.2747415352
408	0.2746786614
409	0.2746173618
410	0.2745402516
411	0.2744845739
412	0.274423692
413	0.2743959504
414	0.2743280792
415	0.2742699316
416	0.2742343042
417	0.2741645226
418	0.2741057556
419	0.2740355424
420	0.2739574198
421	0.2739173947
422	0.2738829658
423	0.2738204057
424	0.2737703593
425	0.2737152133
426	0.273657319
427	0.2735710411
428	0.2735690655
429	0.2735459199
430	0.2735017091
431	0.2734437474
432	0.2733794241
433	0.2733133292
434	0.27325024
435	0.2732009436
436	0.2731619212
437	0.2730750335
438	0.2730096801
439	0.2729550334
440	0.2728939787
441	0.2728529553
442	0.2728087947
443	0.2727276756
444	0.272671598
445	0.2725863124
446	0.2725268932
447	0.2724796195
448	0.2724363127
449	0.2723661951
450	0.2723227565
451	0.2722479972
452	0.2721752951
453	0.2721213319
454	0.2720684838
455	0.2719982713
456	0.2719245448
457	0.2718785801
458	0.2718479744
459	0.2718011066
460	0.2717661594
461	0.2717235357
462	0.2716638053
463	0.2716198419
464	0.2715608268
465	0.2715001866
466	0.2714435189
467	0.2713767987
468	0.2713327946
469	0.2712856385
470	0.2712458638
471	0.2712062882
472	0.2711620191
473	0.2711175206
474	0.27107176
475	0.2710518261
476	0.2710157172
477	0.2709479285
478	0.2709159919
479	0.270878591
480	0.270826936
481	0.2707987005
482	0.2707526656
483	0.2707078715
484	0.2706728722
485	0.2706238788
486	0.2705680588
487	0.2705289221
488	0.2704936638
489	0.2704499626
490	0.2704175699
491	0.2703796348
492	0.2703397824
493	0.2702821918
494	0.2702360918
495	0.270192209
496	0.2701269625
497	0.2701120571
498	0.2700771788
499	0.2700104264
500	0.2699697447
501	0.2699035899
502	0.2698525116
503	0.2697828174
504	0.2697193651
505	0.2696803333
506	0.2696341276
507	0.2695735771
508	0.2695063046
509	0.2694448744
510	0.2693865957
511	0.269312601
512	0.2693030856
513	0.2692451224
514	0.2691923325
515	0.2691617181
516	0.269114425
517	0.2690684433
518	0.2689970349
519	0.2689509395
520	0.2688727114
521	0.2688294302
522	0.2687723494
523	0.2687068894
524	0.2686920037
525	0.2686469544
526	0.2685965818
527	0.2685449445
528	0.268470726
529	0.2684342329
530	0.2683779016
531	0.2683220489
532	0.2682744562
533	0.2682352934
534	0.2681857308
535	0.2681470025
536	0.2680978131
537	0.268073547
538	0.2680235469
539	0.2679791347
540	0.2678987703
541	0.2678755366
542	0.2678130376
543	0.2677948649
544	0.2677045598
545	0.267686857
546	0.2676282844
547	0.2675853623
548	0.267523952
549	0.2674688121
550	0.2674012322
551	0.2673533534
552	0.2673242184
553	0.2672866857
554	0.2672493954
555	0.2672003625
556	0.2671217586
557	0.2671007904
558	0.2670728463
559	0.2670322151
560	0.2669750383
561	0.2669436203
562	0.2668933661
563	0.266846761
564	0.2668037011
565	0.2667722086
566	0.2667244615
567	0.2666626262
568	0.2666192169
569	0.2665924758
570	0.2665415548
571	0.2664914238
572	0.2664475626
573	0.2664030704
574	0.2663567703
575	0.2663435457
576	0.2662983851
577	0.2662302551
578	0.2661697673
579	0.2661095513
580	0.2660321863
581	0.2659864875
582	0.2659337827
583	0.265897419
584	0.2658562282
585	0.265810188
586	0.265785914
587	0.2657330625
588	0.2657110531
589	0.2656734478
590	0.2656200445
591	0.2655743602
592	0.2655089274
593	0.2654514018
594	0.2654161873
595	0.2653903123
596	0.265344099
597	0.2652978594
598	0.2652608345
599	0.2652081344
600	0.2651650834
601	0.2651288836
602	0.2650871154
603	0.2650584346
604	0.2650119609
605	0.2649713373
606	0.2649150272
607	0.2648941096
608	0.264853595
609	0.2648078803
610	0.2647468191
611	0.2647116676
612	0.2646656266
613	0.2646510958
614	0.2645898563
615	0.264555127
616	0.2645189951
617	0.2644947014
618	0.2644340785
619	0.2643688261
620	0.2643202907
621	0.2642776243
622	0.2642518568
623	0.2642166119
624	0.2641584477
625	0.2641304897
626	0.2641133119
627	0.2640603962
628	0.2640170144
629	0.2639364679
630	0.263878137
631	0.2638134047
632	0.2637858813
633	0.2637449812
634	0.2637231753
635	0.263665472
636	0.2636451147
637	0.2635929679
638	0.2635564396
639	0.2634960114
640	0.2634281948
641	0.2633872304
642	0.2633640116
643	0.2633283268
644	0.2632839619
645	0.2632655446
646	0.2632300792
647	0.2631921416
648	0.2631571353
649	0.2631237161
650	0.2630757148
651	0.2630355408
652	0.2630104404
653	0.262966286
654	0.2629262064
655	0.2628624949
656	0.2628095003
657	0.2627851831
658	0.2627523398
659	0.262683477
660	0.2626342881
661	0.2625948261
662	0.2625238441
663	0.2625024951
664	0.2624754831
665	0.2624275011
666	0.2624020124
667	0.2623792782
668	0.262317626
669	0.262300276
670	0.2622534746
671	0.2622114587
672	0.2621810049
673	0.2621307669
674	0.2620831514
675	0.262024541
676	0.2619716215
677	0.261932078
678	0.2618966376
679	0.2618820452
680	0.2618577876
681	0.26179582
682	0.2617732626
683	0.2617123119
684	0.2616679645
685	0.2616339425
686	0.2615994951
687	0.2615672554
688	0.2615336776
689	0.2614854616
690	0.2614172095
691	0.2613840023
692	0.2613297005
693	0.2612633921
694	0.2612002106
695	0.2611230956
696	0.2610629731
697	0.2610424014
698	0.2609818856
699	0.2609447441
700	0.2609266581
701	0.2608718302
702	0.2608325178
703	0.2608065223
704	0.2607603928
705	0.2606843221
706	0.2606576982
707	0.2606041439
708	0.2605283369
709	0.2604803868
710	0.2604574205
711	0.2603962792
712	0.2603328631
713	0.2602853299
714	0.2602545772
715	0.26019528
716	0.2601621479
717	0.260131367
718	0.2600892268
719	0.2600512584
720	0.2599723035
721	0.259931768
722	0.259886836
723	0.2598568892
724	0.2597972289
725	0.2597460253
726	0.2597040044
727	0.259630029
728	0.2595790725
729	0.2595236795
730	0.2594797929
731	0.2594337773
732	0.2593679362
733	0.2593368898
734	0.259302759
735	0.2592601138
736	0.2592227721
737	0.2591544205
738	0.2591011662
739	0.259025039
740	0.2589538887
741	0.2589333126
742	0.2588917927
743	0.2588487037
744	0.2587995191
745	0.2587224095
746	0.2586649687
747	0.2586019913
748	0.2585481386
749	0.258483998
750	0.2584325275
751	0.2584135046
752	0.2583754495
753	0.2583473631
754	0.2582988997
755	0.2582721318
756	0.2582126591
