iter	Passed	Remaining
0	1	13548
1	2	12797
2	3	12646
3	5	13710
4	7	14223
5	8	14068
6	9	13808
7	10	13212
8	11	13215
9	13	13159
10	14	13501
11	15	13312
12	17	13109
13	18	13062
14	19	12893
15	20	12822
16	21	12917
17	23	12886
18	24	12850
19	25	12862
20	26	12817
21	28	13094
22	30	13064
23	31	13030
24	32	12924
25	33	12849
26	36	13306
27	37	13423
28	39	13418
29	40	13427
30	41	13349
31	42	13322
32	43	13270
33	45	13229
34	46	13238
35	47	13260
36	49	13282
37	50	13304
38	52	13289
39	53	13237
40	54	13172
41	55	13121
42	56	13118
43	57	13114
44	59	13084
45	60	13078
46	61	13030
47	62	13019
48	64	13017
49	65	13018
50	66	12993
51	70	13444
52	71	13391
53	72	13377
54	73	13336
55	75	13326
56	76	13304
57	77	13266
58	79	13395
59	80	13414
60	82	13433
61	83	13445
62	85	13410
63	86	13386
64	87	13342
65	88	13331
66	89	13307
67	91	13325
68	92	13279
69	93	13329
70	95	13328
71	96	13315
72	97	13270
73	99	13316
74	100	13359
75	102	13337
76	103	13298
77	104	13263
78	105	13221
79	106	13191
80	107	13179
81	108	13167
82	110	13179
83	111	13171
84	112	13136
85	113	13113
86	116	13231
87	117	13205
88	118	13173
89	119	13142
90	120	13138
91	121	13138
92	122	13059
93	124	13068
94	125	13038
95	126	13008
96	127	12978
97	128	12973
98	129	12960
99	130	12945
100	132	12942
101	133	12925
102	135	12999
103	136	12989
104	137	12971
105	138	12953
106	140	12948
107	141	12938
108	142	12954
109	144	13004
110	146	13045
111	147	13026
112	148	13009
113	150	13011
114	151	12998
115	152	12990
116	153	12985
117	154	12977
118	156	12980
119	157	12964
120	158	12954
121	159	12929
122	160	12917
123	162	12909
124	163	12935
125	165	12939
126	166	12928
127	167	12901
128	168	12901
129	170	12910
130	171	12936
131	173	12946
132	174	12959
133	175	12956
134	177	12946
135	178	12936
136	179	12921
137	180	12933
138	182	12950
139	183	12943
140	185	12936
141	186	12930
142	187	12919
143	188	12928
144	190	12920
145	192	12989
146	193	12992
147	194	12979
148	196	12961
149	197	12948
150	199	12991
151	202	13097
152	203	13096
153	204	13089
154	205	13077
155	207	13070
156	208	13061
157	209	13047
158	210	13035
159	211	13026
160	213	13018
161	214	13018
162	215	13017
163	217	13033
164	219	13084
165	220	13074
166	222	13084
167	223	13082
168	224	13084
169	226	13070
170	227	13060
171	228	13084
172	230	13105
173	232	13103
174	233	13089
175	234	13084
176	235	13071
177	236	13061
178	237	13056
179	239	13054
180	241	13083
181	242	13067
182	243	13057
183	244	13049
184	245	13038
185	247	13038
186	248	13048
187	250	13055
188	251	13052
189	253	13070
190	254	13066
191	255	13056
192	257	13062
193	258	13065
194	259	13064
195	261	13070
196	262	13068
197	264	13073
198	265	13074
199	266	13071
200	267	13058
201	269	13048
202	270	13048
203	272	13071
204	273	13070
205	274	13056
206	275	13044
207	276	13035
208	278	13024
209	279	13020
